team,season,role,name
ARI,2015,HC,Bruce Arians
ARI,2015,OC,Harold Goodwin
ARI,2016,HC,Bruce Arians
ARI,2016,OC,Harold Goodwin
ARI,2017,HC,Bruce Arians
ARI,2017,OC,Harold Goodwin
ARI,2018,HC,Steve Wilks
ARI,2018,OC,Mike McCoy
ARI,2019,HC,Kliff Kingsbury
ARI,2019,OC,Kliff Kingsbury
ARI,2020,HC,Kliff Kingsbury
ARI,2020,OC,Kliff Kingsbury
ARI,2021,HC,Kliff Kingsbury
ARI,2021,OC,Kliff Kingsbury
ARI,2022,HC,Kliff Kingsbury
ARI,2022,OC,Kliff Kingsbury
ARI,2023,HC,Jonathan Gannon
ARI,2023,OC,Drew Petzing
ARI,2024,HC,Jonathan Gannon
ARI,2024,OC,Drew Petzing
ATL,2015,HC,Dan Quinn
ATL,2015,OC,Kyle Shanahan
ATL,2016,HC,Dan Quinn
ATL,2016,OC,Kyle Shanahan
ATL,2017,HC,Dan Quinn
ATL,2017,OC,Steve Sarkisian
ATL,2018,HC,Dan Quinn
ATL,2018,OC,Steve Sarkisian
ATL,2019,HC,Dan Quinn
ATL,2019,OC,Dirk Koetter
ATL,2020,HC,Dan Quinn
ATL,2020,OC,Dirk Koetter
ATL,2021,HC,Arthur Smith
ATL,2021,OC,Dave Ragone
ATL,2022,HC,Arthur Smith
ATL,2022,OC,Dave Ragone
ATL,2023,HC,Arthur Smith
ATL,2023,OC,Dave Ragone
ATL,2024,HC,Raheem Morris
ATL,2024,OC,Zac Robinson
BAL,2015,HC,John Harbaugh
BAL,2015,OC,Marc Trestman
BAL,2016,HC,John Harbaugh
BAL,2016,OC,Marc Trestman
BAL,2017,HC,John Harbaugh
BAL,2017,OC,Marty Mornhinweg
BAL,2018,HC,John Harbaugh
BAL,2018,OC,Marty Mornhinweg
BAL,2019,HC,John Harbaugh
BAL,2019,OC,Greg Roman
BAL,2020,HC,John Harbaugh
BAL,2020,OC,Greg Roman
BAL,2021,HC,John Harbaugh
BAL,2021,OC,Greg Roman
BAL,2022,HC,John Harbaugh
BAL,2022,OC,Greg Roman
BAL,2023,HC,John Harbaugh
BAL,2023,OC,Todd Monken
BAL,2024,HC,John Harbaugh
BAL,2024,OC,Todd Monken
BUF,2015,HC,Rex Ryan
BUF,2015,OC,Greg Roman
BUF,2016,HC,Rex Ryan
BUF,2016,OC,Greg Roman
BUF,2017,HC,Sean McDermott
BUF,2017,OC,Rick Dennison
BUF,2018,HC,Sean McDermott
BUF,2018,OC,Brian Daboll
BUF,2019,HC,Sean McDermott
BUF,2019,OC,Brian Daboll
BUF,2020,HC,Sean McDermott
BUF,2020,OC,Brian Daboll
BUF,2021,HC,Sean McDermott
BUF,2021,OC,Brian Daboll
BUF,2022,HC,Sean McDermott
BUF,2022,OC,Ken Dorsey
BUF,2023,HC,Sean McDermott
BUF,2023,OC,Ken Dorsey
BUF,2024,HC,Sean McDermott
BUF,2024,OC,Joe Brady
CAR,2015,HC,Ron Rivera
CAR,2015,OC,Mike Shula
CAR,2016,HC,Ron Rivera
CAR,2016,OC,Mike Shula
CAR,2017,HC,Ron Rivera
CAR,2017,OC,Mike Shula
CAR,2018,HC,Ron Rivera
CAR,2018,OC,Norv Turner
CAR,2019,HC,Ron Rivera
CAR,2019,OC,Norv Turner
CAR,2020,HC,Matt Rhule
CAR,2020,OC,Joe Brady
CAR,2021,HC,Matt Rhule
CAR,2021,OC,Joe Brady
CAR,2022,HC,Matt Rhule
CAR,2022,OC,Ben McAdoo
CAR,2023,HC,Frank Reich
CAR,2023,OC,Thomas Brown
CAR,2024,HC,Dave Canales
CAR,2024,OC,Brad Idzik
CHI,2015,HC,John Fox
CHI,2015,OC,Adam Gase
CHI,2016,HC,John Fox
CHI,2016,OC,Dowell Loggains
CHI,2017,HC,John Fox
CHI,2017,OC,Dowell Loggains
CHI,2018,HC,Matt Nagy
CHI,2018,OC,Mark Helfrich
CHI,2019,HC,Matt Nagy
CHI,2019,OC,Mark Helfrich
CHI,2020,HC,Matt Nagy
CHI,2020,OC,Bill Lazor
CHI,2021,HC,Matt Nagy
CHI,2021,OC,Bill Lazor
CHI,2022,HC,Matt Eberflus
CHI,2022,OC,Luke Getsy
CHI,2023,HC,Matt Eberflus
CHI,2023,OC,Luke Getsy
CHI,2024,HC,Matt Eberflus
CHI,2024,OC,Shane Waldron
CIN,2015,HC,Marvin Lewis
CIN,2015,OC,Hue Jackson
CIN,2016,HC,Marvin Lewis
CIN,2016,OC,Ken Zampese
CIN,2017,HC,Marvin Lewis
CIN,2017,OC,Ken Zampese
CIN,2018,HC,Marvin Lewis
CIN,2018,OC,Bill Lazor
CIN,2019,HC,Zac Taylor
CIN,2019,OC,Brian Callahan
CIN,2020,HC,Zac Taylor
CIN,2020,OC,Brian Callahan
CIN,2021,HC,Zac Taylor
CIN,2021,OC,Brian Callahan
CIN,2022,HC,Zac Taylor
CIN,2022,OC,Brian Callahan
CIN,2023,HC,Zac Taylor
CIN,2023,OC,Brian Callahan
CIN,2024,HC,Zac Taylor
CIN,2024,OC,Dan Pitcher
CLE,2015,HC,Mike Pettine
CLE,2015,OC,John DeFilippo
CLE,2016,HC,Hue Jackson
CLE,2016,OC,Hue Jackson
CLE,2017,HC,Hue Jackson
CLE,2017,OC,Hue Jackson
CLE,2018,HC,Hue Jackson
CLE,2018,OC,Todd Haley
