team,season,role,name
ARI,2024,DC,Nick Rallis
ATL,2024,DC,Jimmy Lake
BAL,2024,DC,Zach Orr
BUF,2024,DC,Bobby Babich
CAR,2024,DC,Ejiro Evero
CHI,2024,DC,Eric Washington
CIN,2024,DC,Lou Anarumo
CLE,2024,DC,Jim Schwartz
DAL,2024,DC,Mike Zimmer
DEN,2024,DC,Vance Joseph
DET,2024,DC,Aaron Glenn
GB,2024,DC,Jeff Hafley
HOU,2024,DC,Matt Burke
IND,2024,DC,Gus Bradley
JAX,2024,DC,Ryan Nielsen
KC,2024,DC,Steve Spagnuolo
LA,2024,DC,Chris Shula
LAC,2024,DC,Jesse Minter
LV,2024,DC,Patrick Graham
MIA,2024,DC,Anthony Weaver
MIN,2024,DC,Brian Flores
NE,2024,DC,DeMarcus Covington
NO,2024,DC,Joe Woods
NYG,2024,DC,Shane Bowen
NYJ,2024,DC,Jeff Ulbrich
PHI,2024,DC,Vic Fangio
PIT,2024,DC,Teryl Austin
SEA,2024,DC,Aden Durde
SF,2024,DC,Nick Sorensen
TB,2024,DC,Kacy Rodgers
TEN,2024,DC,Dennard Wilson
WAS,2024,DC,Joe Whitt Jr.
