season,player,spot,targets,completions,yards,touchdowns,interceptions,brokenUp
2021,00-0035236,CB,56,44,456,0,4,10
2021,00-0029681,CB,34,27,227,0,1,7
2021,00-0036416,CB,43,29,355,0,2,14
2021,00-0030528,CB,25,21,169,0,1,4
2021,00-0033132,S,13,0,0,0,5,12
2021,00-0036884,CB,35,31,299,0,0,4
2021,00-0033294,S,12,0,0,0,2,12
2021,00-0029261,CB,39,29,326,0,1,10
2021,00-0035695,CB,17,13,173,0,1,4
2021,00-0033281,CB,46,33,329,0,1,13
2021,00-0032770,CB,27,24,191,0,1,3
2021,00-0034265,CB,50,39,502,0,3,11
2021,00-0035422,CB,15,12,161,0,0,3
2021,00-0033055,CB,72,52,520,0,4,20
2021,00-0035665,CB,40,35,359,0,2,4
2021,00-0034203,CB,63,52,550,0,0,11
2021,00-0036292,CB,31,22,257,0,1,9
2021,00-0036307,CB,25,21,312,0,0,4
2021,00-0036904,CB,13,9,83,0,1,4
2021,00-0036374,CB,63,54,539,0,3,8
2021,00-0034843,CB,43,37,402,0,1,6
2021,00-0034355,CB,24,20,187,0,0,4
2021,00-0034856,CB,38,29,275,0,3,9
2021,00-0034573,CB,55,42,490,0,2,13
2021,00-0036996,CB,37,28,296,0,0,9
2021,00-0036361,CB,55,34,455,0,11,21
2021,00-0033047,CB,70,53,611,0,4,17
2021,00-0035239,CB,26,23,278,0,0,3
2021,00-0034778,CB,41,30,219,0,1,11
2021,00-0031016,CB,26,20,182,0,0,6
2021,00-0035699,CB,51,41,454,0,2,10
2021,00-0033928,CB,48,38,463,0,3,8
2021,00-0031041,CB,34,30,322,0,0,4
2021,00-0033878,CB,40,33,310,0,1,7
2021,00-0036388,S,10,0,0,0,5,10
2021,00-0036394,CB,15,13,116,0,1,2
2021,00-0032195,CB,37,31,363,0,0,6
2021,00-0032890,CB,46,29,302,0,4,17
2021,00-0031904,CB,22,18,196,0,0,4
2021,00-0034728,CB,12,9,128,0,1,3
2021,00-0034468,CB,22,18,168,0,3,4
2021,00-0036937,CB,47,39,469,0,3,8
2021,00-0033874,CB,65,46,533,0,3,19
2021,00-0036901,CB,51,37,351,0,1,14
2021,00-0033894,S,8,0,0,0,2,8
2021,00-0032059,CB,27,22,189,0,3,5
2021,00-0033926,CB,39,32,330,0,0,7
2021,00-0036974,CB,44,34,399,0,2,10
2021,00-0036281,CB,23,21,256,0,0,2
2021,00-0033566,CB,49,43,555,0,3,6
2021,00-0032758,CB,16,13,193,0,1,3
2021,00-0031097,CB,32,22,246,0,1,10
2021,00-0033107,CB,36,28,296,0,2,7
2021,00-0031587,CB,37,28,476,0,4,9
2021,00-0033084,CB,68,52,499,0,1,16
2021,00-0036617,CB,38,27,311,0,2,11
2021,00-0033697,CB,43,31,336,0,1,12
2021,00-0036625,CB,21,18,202,0,0,3
2021,00-0034591,CB,54,31,328,0,8,21
2021,00-0033050,CB,42,26,324,1,5,16
2021,00-0032239,CB,47,37,441,0,0,10
2021,00-0035346,CB,37,32,414,0,2,3
2021,00-0027136,CB,9,7,114,0,0,2
2021,00-0032803,CB,35,28,318,0,0,7
2021,00-0032580,CB,14,11,113,0,1,3
2021,00-0032521,CB,45,36,331,0,3,8
2021,00-0027943,CB,30,25,246,0,1,5
2021,00-0033579,S,10,0,0,0,3,9
2021,00-0033548,CB,66,51,518,0,3,15
2021,00-0031052,CB,36,31,327,0,2,5
2021,00-0032389,CB,27,23,241,0,0,4
2021,00-0035150,CB,15,15,187,0,0,0
2021,00-0032379,CB,49,36,437,0,2,13
2021,00-0036501,CB,34,29,309,0,0,5
2021,00-0036504,CB,47,38,514,0,2,9
2021,00-0036241,CB,61,45,455,0,0,16
2021,00-0034356,CB,45,35,459,0,2,10
2021,00-0036149,CB,23,20,186,0,0,3
2021,00-0036285,CB,47,31,296,0,3,16
2021,00-0034357,CB,8,5,29,0,0,3
2021,00-0030062,CB,42,32,406,0,3,10
2021,00-0034377,CB,46,37,229,1,1,9
2021,00-0033918,CB,46,35,320,0,0,11
2021,00-0032150,CB,37,29,316,0,1,8
2021,00-0033059,CB,8,7,91,0,0,1
2021,00-0033930,CB,42,36,323,0,2,5
2021,00-0034514,CB,48,37,426,0,3,10
2021,00-0027860,CB,25,19,162,0,0,6
2021,00-0030090,S,11,0,0,0,6,9
2021,00-0034376,CB,38,31,286,0,1,6
2021,00-0033884,CB,24,18,171,0,1,6
2021,00-0035795,CB,26,22,238,0,1,4
2021,00-0034756,CB,22,19,248,0,0,3
2021,00-0031269,CB,16,15,207,0,0,1
2021,00-0033393,CB,62,49,441,0,4,12
2021,00-0034384,CB,44,34,430,0,2,10
2021,00-0035637,CB,29,21,221,0,0,8
2021,00-0035270,CB,43,32,424,0,6,10
2021,00-0036563,CB,9,7,70,0,0,2
2021,00-0037008,CB,25,19,217,0,1,6
2021,00-0031061,CB,17,15,160,0,0,2
