season,week,offense,defense,startYard,result,points,plays,firstDowns
2022,1,NYJ,BAL,78,Punt,0,4,1
2022,1,BAL,NYJ,72,Punt,0,6,1
2022,1,NYJ,BAL,89,Punt,0,5,1
2022,1,BAL,NYJ,66,Punt,0,3,0
2022,1,NYJ,BAL,83,Turnover,0,3,1
2022,1,BAL,NYJ,13,Field goal,3,4,0
2022,1,NYJ,BAL,75,Punt,0,3,0
2022,1,BAL,NYJ,84,Punt,0,4,1
2022,1,NYJ,BAL,71,Missed field goal,0,8,3
2022,1,BAL,NYJ,65,Punt,0,5,1
2022,1,NYJ,BAL,89,Punt,0,6,2
2022,1,BAL,NYJ,62,Touchdown,7,3,2
2022,1,NYJ,BAL,75,Field goal,3,8,2
2022,1,BAL,NYJ,75,End of half,0,1,0
2022,1,BAL,NYJ,75,Punt,0,6,1
2022,1,NYJ,BAL,80,Punt,0,3,0
2022,1,BAL,NYJ,44,Touchdown,7,6,3
2022,1,NYJ,BAL,75,Punt,0,5,1
2022,1,BAL,NYJ,88,Touchdown,7,5,3
2022,1,NYJ,BAL,91,Turnover,0,9,5
2022,1,BAL,NYJ,85,Punt,0,6,1
2022,1,NYJ,BAL,68,Turnover on downs,0,16,4
2022,1,BAL,NYJ,93,Turnover,0,3,0
2022,1,NYJ,BAL,43,Touchdown,7,11,4
2022,1,BAL,NYJ,42,End of half,0,2,0
2022,1,BUF,LA,75,Touchdown,7,9,4
2022,1,LA,BUF,83,Punt,0,8,2
2022,1,BUF,LA,91,Turnover,0,8,4
2022,1,LA,BUF,76,Punt,0,3,0
2022,1,BUF,LA,68,Turnover,0,2,0
2022,1,LA,BUF,36,Turnover,0,2,0
2022,1,BUF,LA,68,Field goal,3,8,2
2022,1,LA,BUF,60,Touchdown,7,11,5
2022,1,BUF,LA,75,Turnover,0,4,1
2022,1,LA,BUF,45,Field goal,3,8,2
2022,1,LA,BUF,89,Punt,0,3,0
2022,1,BUF,LA,58,Touchdown,7,8,5
2022,1,LA,BUF,75,Punt,0,6,2
2022,1,BUF,LA,89,Touchdown,7,13,5
2022,1,LA,BUF,78,Turnover,0,5,2
2022,1,BUF,LA,59,Touchdown,7,3,1
2022,1,LA,BUF,76,Turnover,0,7,2
2022,1,BUF,LA,37,Turnover,0,3,1
2022,1,LA,BUF,82,Turnover on downs,0,14,4
2022,1,BUF,LA,84,End of half,0,1,0
2022,1,CAR,CLE,78,Punt,0,3,0
2022,1,CLE,CAR,65,Turnover on downs,0,8,2
2022,1,CAR,CLE,64,Punt,0,3,0
2022,1,CLE,CAR,65,Punt,0,8,2
2022,1,CAR,CLE,95,Punt,0,5,1
2022,1,CLE,CAR,56,Punt,0,3,0
2022,1,CAR,CLE,92,Turnover,0,5,1
2022,1,CLE,CAR,42,Touchdown,7,3,2
2022,1,CAR,CLE,75,Punt,0,3,0
2022,1,CLE,CAR,78,Touchdown,7,8,3
2022,1,CAR,CLE,75,Touchdown,7,6,3
2022,1,CLE,CAR,60,Field goal,3,9,3
2022,1,CAR,CLE,75,End of half,0,2,0
2022,1,CLE,CAR,74,Field goal,3,13,4
2022,1,CAR,CLE,82,Punt,0,4,1
2022,1,CLE,CAR,67,Punt,0,3,0
2022,1,CAR,CLE,75,Touchdown,7,11,5
2022,1,CLE,CAR,75,Field goal,3,10,3
2022,1,CAR,CLE,75,Touchdown,7,1,1
2022,1,CLE,CAR,75,Punt,0,7,2
2022,1,CAR,CLE,80,Field goal,3,7,3
2022,1,CLE,CAR,75,Field goal,3,6,2
2022,1,CAR,CLE,75,End of half,0,1,0
2022,1,SEA,DEN,70,Touchdown,7,6,2
2022,1,DEN,SEA,89,Field goal,3,9,3
2022,1,SEA,DEN,79,Turnover on downs,0,7,4
2022,1,DEN,SEA,93,Punt,0,7,3
2022,1,SEA,DEN,81,Field goal,3,9,4
2022,1,DEN,SEA,75,Touchdown,7,3,1
2022,1,SEA,DEN,75,Touchdown,7,7,4
2022,1,DEN,SEA,79,Field goal,3,9,3
2022,1,DEN,SEA,80,Turnover,0,10,3
2022,1,SEA,DEN,90,Turnover,0,6,3
2022,1,DEN,SEA,32,Turnover,0,5,1
2022,1,SEA,DEN,80,Punt,0,9,2
2022,1,DEN,SEA,80,Field goal,3,15,4
2022,1,SEA,DEN,70,Punt,0,3,0
2022,1,DEN,SEA,78,Missed field goal,0,10,2
2022,1,SEA,DEN,46,End of half,0,3,0
2022,1,MIN,GB,78,Touchdown,7,10,4
2022,1,GB,MIN,75,Punt,0,5,1
2022,1,MIN,GB,85,Punt,0,3,0
2022,1,GB,MIN,54,Punt,0,6,1
2022,1,MIN,GB,85,Punt,0,5,1
2022,1,GB,MIN,80,Turnover on downs,0,10,4
2022,1,MIN,GB,99,Field goal,3,8,3
2022,1,GB,MIN,75,Punt,0,3,0
2022,1,MIN,GB,74,Touchdown,7,7,4
2022,1,GB,MIN,75,Turnover,0,1,0
2022,1,MIN,GB,70,Punt,0,3,0
2022,1,GB,MIN,84,End of half,0,1,0
2022,1,GB,MIN,82,Turnover,0,5,2
2022,1,MIN,GB,33,Field goal,3,4,0
2022,1,GB,MIN,75,Touchdown,7,7,4
2022,1,MIN,GB,75,Punt,0,5,1
2022,1,GB,MIN,83,Punt,0,7,2
2022,1,MIN,GB,84,Field goal,3,12,4
2022,1,GB,MIN,75,Turnover on downs,0,11,3
2022,1,MIN,GB,82,Punt,0,7,2
2022,1,GB,MIN,92,End of half,0,5,4
2022,1,IND,HOU,75,Punt,0,3,0
2022,1,HOU,IND,78,Punt,0,3,0
2022,1,IND,HOU,74,Field goal,3,12,3
2022,1,HOU,IND,75,Punt,0,3,0
2022,1,IND,HOU,70,Turnover on downs,0,10,4
2022,1,HOU,IND,96,Field goal,3,14,5
2022,1,IND,HOU,75,Turnover,0,6,2
2022,1,HOU,IND,58,Touchdown,7,4,3
2022,1,IND,HOU,75,Punt,0,8,2
2022,1,HOU,IND,86,End of half,0,6,2
2022,1,HOU,IND,75,Field goal,3,5,1
2022,1,IND,HOU,75,Turnover,0,7,3
2022,1,HOU,IND,58,Touchdown,7,4,3
2022,1,IND,HOU,75,Punt,0,3,0
2022,1,HOU,IND,99,Punt,0,12,4
2022,1,IND,HOU,85,Field goal,3,11,5
2022,1,HOU,IND,75,Turnover,0,2,0
2022,1,IND,HOU,20,Touchdown,7,4,2
2022,1,HOU,IND,75,Punt,0,5,1
2022,1,IND,HOU,80,Touchdown,7,7,5
2022,1,HOU,IND,60,Punt,0,3,0
2022,1,IND,HOU,91,Punt,0,7,2
2022,1,HOU,IND,81,End of half,0,1,0
2022,1,HOU,IND,60,Punt,0,3,0
2022,1,IND,HOU,69,Missed field goal,0,13,4
2022,1,HOU,IND,68,Punt,0,5,1
2022,1,IND,HOU,94,End of half,0,2,1
2022,1,JAX,WAS,75,Field goal,3,7,4
2022,1,WAS,JAX,74,Touchdown,7,8,4
2022,1,JAX,WAS,75,Punt,0,6,1
2022,1,WAS,JAX,71,Touchdown,7,14,6
2022,1,JAX,WAS,75,Punt,0,3,0
2022,1,WAS,JAX,72,Punt,0,3,0
2022,1,JAX,WAS,71,Turnover on downs,0,8,4
2022,1,WAS,JAX,97,Turnover,0,8,3
2022,1,JAX,WAS,66,Missed field goal,0,10,3
2022,1,WAS,JAX,73,End of half,0,1,0
2022,1,WAS,JAX,75,Punt,0,5,1
2022,1,JAX,WAS,80,Touchdown,7,6,4
2022,1,WAS,JAX,75,Punt,0,5,1
2022,1,JAX,WAS,80,Field goal,3,11,4
2022,1,WAS,JAX,75,Turnover,0,4,1
2022,1,JAX,WAS,45,Field goal,3,6,1
2022,1,WAS,JAX,75,Turnover,0,1,0
2022,1,JAX,WAS,11,Touchdown,7,1,1
2022,1,WAS,JAX,78,Touchdown,7,4,2
2022,1,JAX,WAS,75,Punt,0,4,1
2022,1,WAS,JAX,90,Touchdown,7,13,7
2022,1,JAX,WAS,75,Turnover,0,4,1
2022,1,WAS,JAX,74,End of half,0,4,1
2022,1,KC,ARI,75,Touchdown,7,11,5
2022,1,ARI,KC,75,Punt,0,3,0
2022,1,KC,ARI,86,Touchdown,7,7,6
2022,1,ARI,KC,75,Touchdown,7,11,6
2022,1,KC,ARI,75,Touchdown,7,11,5
2022,1,ARI,KC,75,Punt,0,3,0
2022,1,KC,ARI,75,Punt,0,5,1
2022,1,ARI,KC,80,Punt,0,5,1
2022,1,KC,ARI,80,Turnover,0,1,0
2022,1,ARI,KC,42,Turnover on downs,0,4,0
2022,1,KC,ARI,66,Field goal,3,6,2
2022,1,ARI,KC,75,End of half,0,1,0
2022,1,ARI,KC,74,Punt,0,5,1
2022,1,KC,ARI,75,Touchdown,7,4,4
2022,1,ARI,KC,75,Punt,0,3,0
2022,1,KC,ARI,66,Touchdown,7,8,4
2022,1,ARI,KC,75,Touchdown,7,14,5
2022,1,KC,ARI,66,Touchdown,7,9,5
2022,1,ARI,KC,48,Touchdown,7,6,3
2022,1,KC,ARI,90,Punt,0,5,1
2022,1,ARI,KC,79,End of half,0,8,2
2022,1,LAC,LV,75,Field goal,3,12,3
2022,1,LV,LAC,75,Field goal,3,14,4
2022,1,LAC,LV,60,Punt,0,3,0
2022,1,LV,LAC,98,Punt,0,3,0
2022,1,LAC,LV,67,Touchdown,7,9,4
2022,1,LV,LAC,75,Punt,0,5,1
2022,1,LAC,LV,91,Turnover on downs,0,9,3
2022,1,LV,LAC,72,Turnover,0,2,0
2022,1,LAC,LV,31,Touchdown,7,2,1
2022,1,LV,LAC,75,End of half,0,1,0
2022,1,LV,LAC,75,Touchdown,7,5,3
2022,1,LAC,LV,73,Touchdown,7,11,5
2022,1,LV,LAC,75,Field goal,3,11,3
2022,1,LAC,LV,75,Punt,0,3,0
