season,kind,yardline,togo,down,call,length,made
2021,play,75,10,1,run,0,0
2021,play,78,13,2,pass,0,0
2021,play,75,10,3,pass,0,0
2021,play,61,10,1,pass,0,0
2021,play,23,10,1,run,0,0
2021,play,31,18,1,pass,0,0
2021,play,30,17,2,pass,0,0
2021,play,9,9,1,run,0,0
2021,play,24,24,2,pass,0,0
2021,play,16,16,3,pass,0,0
2021,kick,16,0,0,,34,1
2021,play,80,10,1,run,0,0
2021,play,81,11,2,pass,0,1
2021,play,5,5,1,pass,0,0
2021,play,5,5,2,pass,0,0
2021,play,5,5,3,pass,0,0
2021,play,75,10,1,run,0,0
2021,play,73,8,2,run,0,0
2021,play,81,16,3,pass,0,0
2021,play,65,10,1,run,0,0
2021,play,61,6,2,pass,0,0
2021,play,58,3,3,pass,0,0
2021,play,80,10,1,pass,0,0
2021,play,86,16,2,pass,0,0
2021,play,82,12,3,pass,0,0
2021,play,74,4,4,pass,0,0
2021,play,68,10,1,run,0,0
2021,play,69,11,2,run,0,0
2021,play,67,9,3,pass,0,0
2021,play,70,10,1,pass,0,0
2021,play,72,12,2,pass,0,0
2021,play,45,10,1,run,0,0
2021,play,42,7,2,run,0,0
2021,play,32,10,1,pass,0,0
2021,play,29,7,2,run,0,0
2021,play,22,10,1,run,0,0
2021,play,25,13,1,run,0,0
2021,play,17,5,2,pass,0,0
2021,play,75,10,1,pass,0,0
2021,play,75,10,2,pass,0,0
2021,play,63,10,1,run,0,0
2021,play,61,8,2,pass,0,0
2021,play,50,10,1,pass,0,0
2021,play,11,10,1,pass,0,0
2021,play,11,10,2,pass,0,0
2021,play,11,10,3,pass,0,0
2021,play,1,1,1,run,0,0
2021,play,1,1,2,run,0,0
2021,play,1,1,3,run,0,0
2021,play,75,10,1,pass,0,0
2021,play,75,10,2,pass,0,0
2021,play,75,10,3,pass,0,0
2021,play,57,10,1,run,0,0
2021,play,53,6,2,run,0,0
2021,play,45,10,1,run,0,0
2021,play,45,10,2,pass,0,0
2021,play,41,6,3,pass,0,0
2021,play,19,10,1,run,0,0
2021,play,19,10,2,pass,0,0
