season,week,offense,defense,drive,down,togo,yardline,margin,seconds,grouping,shell,box,playType,yards,firstDown,touchdown,turnover
2022,1,NYJ,BAL,1,4,15,64,0,3533,,,,punt,0,0,0,0
2022,1,BAL,NYJ,2,4,1,51,0,3296,,,,punt,0,0,0,0
2022,1,NYJ,BAL,3,4,9,82,0,3132,,,,punt,0,0,0,0
2022,1,BAL,NYJ,4,4,9,65,0,3068,,,,punt,0,0,0,0
2022,1,BAL,NYJ,6,4,3,6,0,2899,,,,field_goal,0,0,0,0
2022,1,NYJ,BAL,7,4,1,66,-3,2820,,,,punt,0,0,0,0
2022,1,BAL,NYJ,8,4,5,68,3,2696,,,,punt,0,0,0,0
2022,1,NYJ,BAL,9,4,4,27,-3,2455,,,,field_goal,0,0,0,0
2022,1,BAL,NYJ,10,4,12,51,3,2288,,,,punt,0,0,0,0
2022,1,NYJ,BAL,11,4,17,71,-3,2090,,,,punt,0,0,0,0
2022,1,NYJ,BAL,13,4,5,27,-10,1828,,,,field_goal,0,0,0,0
2022,1,BAL,NYJ,15,4,9,64,7,1665,,,,punt,0,0,0,0
2022,1,NYJ,BAL,16,4,6,76,-7,1530,,,,punt,0,0,0,0
2022,1,NYJ,BAL,18,4,2,61,-14,1188,,,,punt,0,0,0,0
2022,1,BAL,NYJ,21,4,6,62,21,615,,,,punt,0,0,0,0
2022,1,NYJ,BAL,22,4,1,28,-21,452,11,nickel,8,pass,7,1,0,0
2022,1,NYJ,BAL,22,4,3,14,-21,317,11,dime,5,pass,4,1,0,0
2022,1,NYJ,BAL,22,4,6,6,-21,262,11,dime,5,pass,0,0,0,0
2022,1,NYJ,BAL,24,4,15,22,-21,78,11,dime,4,pass,19,1,0,0
2022,1,LA,BUF,2,4,8,45,-7,3014,,,,punt,0,0,0,0
2022,1,LA,BUF,4,4,3,69,-7,2660,,,,punt,0,0,0,0
2022,1,BUF,LA,7,4,4,23,7,2331,,,,field_goal,0,0,0,0
2022,1,LA,BUF,8,4,2,28,-10,2094,11,nickel,7,pass,3,1,0,0
2022,1,LA,BUF,11,4,11,90,0,1688,,,,punt,0,0,0,0
2022,1,LA,BUF,13,4,18,50,-7,1218,,,,punt,0,0,0,0
2022,1,LA,BUF,17,4,1,67,-21,503,11,nickel,7,run,1,1,0,0
2022,1,LA,BUF,19,4,14,16,-21,47,11,nickel,4,pass,0,0,0,0
2022,1,CAR,CLE,1,4,11,79,0,3518,,,,punt,0,0,0,0
2022,1,CLE,CAR,2,4,3,36,0,3260,12,nickel,6,pass,0,0,0,0
2022,1,CAR,CLE,3,4,14,68,0,3112,,,,punt,0,0,0,0
2022,1,CLE,CAR,4,4,8,41,0,2821,,,,punt,0,0,0,0
2022,1,CAR,CLE,5,4,22,92,0,2700,,,,punt,0,0,0,0
2022,1,CLE,CAR,6,4,8,54,0,2641,,,,punt,0,0,0,0
2022,1,CAR,CLE,9,4,7,72,-7,2371,,,,punt,0,0,0,0
2022,1,CLE,CAR,12,4,8,8,7,1824,,,,field_goal,0,0,0,0
2022,1,CLE,CAR,14,4,1,52,10,1601,11,nickel,8,run,2,1,0,0
2022,1,CLE,CAR,14,4,11,16,10,1366,,,,field_goal,0,0,0,0
2022,1,CAR,CLE,15,4,17,79,-13,1178,,,,punt,0,0,0,0
2022,1,CLE,CAR,16,4,7,64,13,1064,,,,punt,0,0,0,0
2022,1,CLE,CAR,18,4,5,18,6,377,,,,field_goal,0,0,0,0
2022,1,CLE,CAR,20,4,9,56,2,141,,,,punt,0,0,0,0
2022,1,CAR,CLE,21,4,12,16,-2,77,,,,field_goal,0,0,0,0
2022,1,CLE,CAR,22,4,1,40,-1,13,,,,field_goal,0,0,0,0
2022,1,DEN,SEA,2,4,4,12,-7,3119,,,,field_goal,0,0,0,0
2022,1,SEA,DEN,3,4,1,7,4,2880,12,base,8,run,0,0,0,0
2022,1,DEN,SEA,4,4,12,55,-4,2603,,,,punt,0,0,0,0
2022,1,SEA,DEN,5,4,20,31,4,2245,,,,field_goal,0,0,0,0
2022,1,DEN,SEA,8,4,8,22,-7,1804,,,,field_goal,0,0,0,0
2022,1,DEN,SEA,9,4,1,1,-4,1362,12,nickel,7,run,-1,0,0,1
2022,1,SEA,DEN,12,4,16,64,4,781,,,,punt,0,0,0,0
2022,1,DEN,SEA,13,4,8,8,-4,376,,,,field_goal,0,0,0,0
2022,1,SEA,DEN,14,4,16,76,1,251,,,,punt,0,0,0,0
2022,1,DEN,SEA,15,4,5,46,-1,20,,,,field_goal,0,0,0,0
2022,1,MIN,GB,1,4,1,5,0,3261,11,nickel,7,pass,5,1,1,0
2022,1,GB,MIN,2,4,7,62,-7,3155,,,,punt,0,0,0,0
2022,1,MIN,GB,3,4,15,90,7,3038,,,,punt,0,0,0,0
2022,1,GB,MIN,4,4,16,48,-7,2818,,,,punt,0,0,0,0
2022,1,MIN,GB,5,4,2,65,7,2657,,,,punt,0,0,0,0
2022,1,GB,MIN,6,4,1,1,-7,2283,11,nickel,6,run,0,0,0,0
2022,1,MIN,GB,7,4,7,10,7,2037,,,,field_goal,0,0,0,0
2022,1,GB,MIN,8,4,7,72,-10,1990,,,,punt,0,0,0,0
2022,1,MIN,GB,11,4,9,69,17,1813,,,,punt,0,0,0,0
2022,1,MIN,GB,14,4,15,38,17,1491,,,,field_goal,0,0,0,0
2022,1,MIN,GB,16,4,2,55,13,981,,,,punt,0,0,0,0
2022,1,GB,MIN,17,4,17,62,-13,718,,,,punt,0,0,0,0
2022,1,MIN,GB,18,4,10,10,13,412,,,,field_goal,0,0,0,0
2022,1,GB,MIN,19,4,1,18,-16,230,11,nickel,6,pass,0,0,0,0
2022,1,MIN,GB,20,4,7,48,16,68,,,,punt,0,0,0,0
2022,1,IND,HOU,1,4,1,66,0,3497,,,,punt,0,0,0,0
2022,1,HOU,IND,2,4,2,70,0,3426,,,,punt,0,0,0,0
2022,1,IND,HOU,3,4,2,27,0,3018,,,,field_goal,0,0,0,0
2022,1,HOU,IND,4,4,5,70,-3,2937,,,,punt,0,0,0,0
2022,1,IND,HOU,5,4,2,2,3,2654,21,base,7,run,-2,0,0,0
2022,1,HOU,IND,6,4,8,27,-3,2274,,,,field_goal,0,0,0,0
2022,1,IND,HOU,9,4,18,42,-7,1845,,,,punt,0,0,0,0
2022,1,HOU,IND,11,4,2,25,7,1640,,,,field_goal,0,0,0,0
2022,1,IND,HOU,14,4,6,71,-17,1290,,,,punt,0,0,0,0
2022,1,HOU,IND,15,4,4,93,17,1178,,,,penalty,5,1,0,0
2022,1,HOU,IND,15,4,8,41,17,896,,,,punt,0,0,0,0
2022,1,IND,HOU,16,4,9,9,-17,647,,,,field_goal,0,0,0,0
2022,1,HOU,IND,19,4,8,62,7,279,,,,punt,0,0,0,0
2022,1,HOU,IND,21,4,6,56,0,87,,,,punt,0,0,0,0
