season,week,team,player,targets,receptions,airYards,carries,earlyTargets,earlyCarries,redLooks,tenLooks,weighted_targets,weighted_receptions,weighted_airYards,weighted_carries,weighted_earlyTargets,weighted_earlyCarries,weighted_redLooks,weighted_tenLooks,team_targets,team_receptions,team_airYards,team_carries,team_earlyTargets,team_earlyCarries,team_redLooks,team_tenLooks,teamWeighted_targets,teamWeighted_receptions,teamWeighted_airYards,teamWeighted_carries,teamWeighted_earlyTargets,teamWeighted_earlyCarries,teamWeighted_redLooks,teamWeighted_tenLooks
2015,1,ARI,00-0021429,0,0,0,2,0,1,0,0,0,0,0,2,0,1,0,0,32,19,358,24,23,23,5,4,32,19,358,24,23,23,5,4
2015,1,ARI,00-0022921,8,6,90,0,7,0,0,0,8,6,90,0,7,0,0,0,32,19,358,24,23,23,5,4,32,19,358,24,23,23,5,4
2015,1,ARI,00-0026164,1,0,24,10,0,10,0,0,1,0,24,10,0,10,0,0,32,19,358,24,23,23,5,4,32,19,358,24,23,23,5,4
2015,1,ARI,00-0027873,1,1,2,0,1,0,0,0,1,1,2,0,1,0,0,0,32,19,358,24,23,23,5,4,32,19,358,24,23,23,5,4
2015,1,ARI,00-0029638,1,1,16,0,1,0,0,0,1,1,16,0,1,0,0,0,32,19,358,24,23,23,5,4,32,19,358,24,23,23,5,4
2015,1,ARI,00-0029738,5,4,34,0,3,0,1,0,5,4,34,0,3,0,1,0,32,19,358,24,23,23,5,4,32,19,358,24,23,23,5,4
2015,1,ARI,00-0030287,3,1,5,12,3,12,3,3,3,1,5,12,3,12,3,3,32,19,358,24,23,23,5,4,32,19,358,24,23,23,5,4
2015,1,ARI,00-0030300,1,1,8,0,1,0,0,0,1,1,8,0,1,0,0,0,32,19,358,24,23,23,5,4,32,19,358,24,23,23,5,4
2015,1,ARI,00-0031051,7,4,93,0,2,0,1,1,7,4,93,0,2,0,1,1,32,19,358,24,23,23,5,4,32,19,358,24,23,23,5,4
2015,1,ARI,00-0032112,3,0,78,0,3,0,0,0,3,0,78,0,3,0,0,0,32,19,358,24,23,23,5,4,32,19,358,24,23,23,5,4
2015,1,ARI,00-0032187,2,1,8,0,2,0,0,0,2,1,8,0,2,0,0,0,32,19,358,24,23,23,5,4,32,19,358,24,23,23,5,4
2015,1,ATL,00-0023462,8,4,84,0,5,0,1,1,7.586,4,76.135,0,5,0,1,1,34,23,295,32,24,29,7,4,33.586,23,287.135,31.619,24,28.619,7,4
2015,1,ATL,00-0026143,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,34,23,295,32,24,29,7,4,33.586,23,287.135,31.619,24,28.619,7,4
2015,1,ATL,00-0026267,3,3,15,0,3,0,0,0,3,3,15,0,3,0,0,0,34,23,295,32,24,29,7,4,33.586,23,287.135,31.619,24,28.619,7,4
2015,1,ATL,00-0027944,11,9,110,0,9,0,1,1,11,9,110,0,9,0,1,1,34,23,295,32,24,29,7,4,33.586,23,287.135,31.619,24,28.619,7,4
2015,1,ATL,00-0028017,4,2,36,0,2,0,0,0,4,2,36,0,2,0,0,0,34,23,295,32,24,29,7,4,33.586,23,287.135,31.619,24,28.619,7,4
2015,1,ATL,00-0029848,1,1,5,0,1,0,0,0,1,1,5,0,1,0,0,0,34,23,295,32,24,29,7,4,33.586,23,287.135,31.619,24,28.619,7,4
2015,1,ATL,00-0030443,1,1,3,0,0,0,0,0,1,1,3,0,0,0,0,0,34,23,295,32,24,29,7,4,33.586,23,287.135,31.619,24,28.619,7,4
2015,1,ATL,00-0031285,4,3,31,10,2,9,4,1,4,3,31,10,2,9,4,1,34,23,295,32,24,29,7,4,33.586,23,287.135,31.619,24,28.619,7,4
2015,1,ATL,00-0032058,2,0,11,20,2,18,1,1,2,0,11,19.619,2,17.619,1,1,34,23,295,32,24,29,7,4,33.586,23,287.135,31.619,24,28.619,7,4
2015,1,BAL,00-0020337,7,2,60,0,3,0,2,0,6.652,2,55.301,0,2.652,0,1.652,0,32,18,192,23,22,21,5,0,29.912,16.956,176.859,22.652,20.434,20.826,4.13,0
2015,1,BAL,00-0026373,7,4,5,14,7,12,1,0,6.478,3.826,5.348,13.652,6.478,11.826,0.826,0,32,18,192,23,22,21,5,0,29.912,16.956,176.859,22.652,20.434,20.826,4.13,0
2015,1,BAL,00-0028497,3,1,23,0,1,0,0,0,3,1,23,0,1,0,0,0,32,18,192,23,22,21,5,0,29.912,16.956,176.859,22.652,20.434,20.826,4.13,0
2015,1,BAL,00-0029892,4,4,-1,0,4,0,1,0,3.826,3.826,-1.174,0,3.826,0,0.826,0,32,18,192,23,22,21,5,0,29.912,16.956,176.859,22.652,20.434,20.826,4.13,0
2015,1,BAL,00-0030400,2,2,21,0,1,0,0,0,1.826,1.826,20.652,0,1,0,0,0,32,18,192,23,22,21,5,0,29.912,16.956,176.859,22.652,20.434,20.826,4.13,0
2015,1,BAL,00-0030992,4,2,54,0,2,0,1,0,3.304,1.652,44.602,0,1.652,0,0.826,0,32,18,192,23,22,21,5,0,29.912,16.956,176.859,22.652,20.434,20.826,4.13,0
2015,1,BAL,00-0031025,2,1,20,0,2,0,0,0,1.826,0.826,19.13,0,1.826,0,0,0,32,18,192,23,22,21,5,0,29.912,16.956,176.859,22.652,20.434,20.826,4.13,0
