season,week,gameId,offense,defense,half,startYard,result,plays,netYards,firstCall,firstYards,spread,total
2022,1,2022_01_BAL_NYJ,NYJ,BAL,1,78,Punt,4,24,run,19,-6.5,44
2022,1,2022_01_BAL_NYJ,BAL,NYJ,2,75,Punt,6,11,run,2,6.5,44
2022,1,2022_01_BUF_LA,BUF,LA,1,75,Touchdown,9,75,pass,6,1,51.5
2022,1,2022_01_BUF_LA,LA,BUF,2,89,Punt,3,-1,run,2,-1,51.5
2022,1,2022_01_CLE_CAR,CAR,CLE,1,78,Punt,3,-1,pass,0,2.5,42.5
2022,1,2022_01_CLE_CAR,CLE,CAR,2,74,Field goal,12,58,pass,0,-2.5,42.5
2022,1,2022_01_DEN_SEA,SEA,DEN,1,70,Touchdown,6,70,run,0,-6,44
2022,1,2022_01_DEN_SEA,DEN,SEA,2,80,Turnover,10,78,run,-2,6,44
2022,1,2022_01_GB_MIN,MIN,GB,1,78,Touchdown,10,78,pass,12,2.5,47
2022,1,2022_01_GB_MIN,GB,MIN,2,82,Turnover,5,15,pass,2,-2.5,47
2022,1,2022_01_IND_HOU,IND,HOU,1,75,Punt,3,9,run,4,7,46
2022,1,2022_01_IND_HOU,HOU,IND,2,75,Field goal,4,50,pass,42,-7,46
2022,1,2022_01_JAX_WAS,JAX,WAS,1,75,Field goal,6,60,pass,25,-3,43.5
2022,1,2022_01_JAX_WAS,WAS,JAX,2,75,Punt,5,7,pass,0,3,43.5
2022,1,2022_01_KC_ARI,KC,ARI,1,75,Touchdown,11,75,run,9,6,54
2022,1,2022_01_KC_ARI,ARI,KC,2,74,Punt,5,0,run,1,-6,54
2022,1,2022_01_LV_LAC,LAC,LV,1,75,Field goal,11,50,run,8,3.5,52.5
2022,1,2022_01_LV_LAC,LV,LAC,2,75,Touchdown,5,75,pass,11,-3.5,52.5
2022,1,2022_01_NE_MIA,NE,MIA,1,75,Turnover,8,53,pass,9,-3,47
2022,1,2022_01_NE_MIA,MIA,NE,2,74,Punt,3,8,pass,7,3,47
2022,1,2022_01_NO_ATL,ATL,NO,1,75,Field goal,9,40,run,11,-6,43.5
2022,1,2022_01_NO_ATL,NO,ATL,2,75,Field goal,10,44,run,5,6,43.5
2022,1,2022_01_NYG_TEN,NYG,TEN,1,78,Punt,3,9,run,1,-5.5,43.5
2022,1,2022_01_NYG_TEN,TEN,NYG,2,76,Punt,3,9,run,7,5.5,43.5
2022,1,2022_01_PHI_DET,DET,PHI,1,75,Touchdown,9,75,pass,-1,-6,49
2022,1,2022_01_PHI_DET,PHI,DET,2,82,Touchdown,10,82,run,-1,6,49
2022,1,2022_01_PIT_CIN,PIT,CIN,1,75,Punt,3,9,pass,3,-7.5,44.5
2022,1,2022_01_PIT_CIN,CIN,PIT,2,75,Punt,3,8,run,5,7.5,44.5
2022,1,2022_01_SF_CHI,CHI,SF,1,77,Punt,3,-7,pass,0,-6.5,38
2022,1,2022_01_SF_CHI,SF,CHI,2,75,Field goal,10,68,run,11,6.5,38
2022,1,2022_01_TB_DAL,DAL,TB,1,86,Field goal,13,54,pass,7,-2.5,49.5
2022,1,2022_01_TB_DAL,TB,DAL,2,75,Punt,4,7,run,10,2.5,49.5
2022,2,2022_02_ARI_LV,LV,ARI,1,75,Touchdown,15,75,run,7,5.5,51.5
2022,2,2022_02_ARI_LV,ARI,LV,2,75,Punt,4,17,run,1,-5.5,51.5
2022,2,2022_02_ATL_LA,ATL,LA,1,75,Missed field goal,12,49,pass,10,-10.5,46.5
2022,2,2022_02_ATL_LA,LA,ATL,2,75,Touchdown,10,75,pass,15,10.5,46.5
2022,2,2022_02_CAR_NYG,NYG,CAR,1,22,Field goal,3,4,run,2,-1,44
2022,2,2022_02_CAR_NYG,NYG,CAR,2,75,Punt,3,-1,run,1,-1,44
2022,2,2022_02_CHI_GB,GB,CHI,1,75,Field goal,12,53,run,3,10.5,42
2022,2,2022_02_CHI_GB,CHI,GB,2,78,Punt,3,7,run,7,-10.5,42
2022,2,2022_02_CIN_DAL,DAL,CIN,1,75,Touchdown,12,75,run,4,-7.5,42
2022,2,2022_02_CIN_DAL,CIN,DAL,2,75,Field goal,10,43,run,10,7.5,42
2022,2,2022_02_HOU_DEN,HOU,DEN,1,75,Punt,3,8,pass,0,-10.5,46
2022,2,2022_02_HOU_DEN,DEN,HOU,2,85,Turnover,2,4,run,4,10.5,46
2022,2,2022_02_IND_JAX,IND,JAX,1,75,Turnover,7,35,pass,19,3,43.5
2022,2,2022_02_IND_JAX,JAX,IND,2,75,Punt,8,29,run,-1,-3,43.5
2022,2,2022_02_LAC_KC,KC,LAC,1,75,Punt,7,29,run,5,4,52.5
2022,2,2022_02_LAC_KC,LAC,KC,2,75,Touchdown,11,75,run,2,-4,52.5
2022,2,2022_02_MIA_BAL,MIA,BAL,1,75,Turnover,8,46,run,7,-3,44
2022,2,2022_02_MIA_BAL,MIA,BAL,2,75,Touchdown,12,75,pass,3,-3,44
2022,2,2022_02_MIN_PHI,PHI,MIN,1,82,Touchdown,11,82,pass,5,2.5,49.5
2022,2,2022_02_MIN_PHI,MIN,PHI,2,79,Turnover,9,60,run,5,-2.5,49.5
2022,2,2022_02_NE_PIT,PIT,NE,1,75,Punt,3,6,run,2,-3,40
2022,2,2022_02_NE_PIT,NE,PIT,2,75,Missed field goal,10,41,run,5,3,40
2022,2,2022_02_NYJ_CLE,NYJ,CLE,1,69,Punt,3,9,run,1,-6.5,38.5
