season,week,offense,defense,drive,down,togo,yardline,margin,seconds,grouping,shell,box,playType,yards,firstDown,touchdown,turnover,shotgun,noHuddle
2022,1,NYJ,BAL,1,1,10,78,0,3596,12,base,7,run,19,1,0,0,0,0
2022,1,NYJ,BAL,1,1,10,59,0,3569,12,base,6,pass,0,0,0,0,1,1
2022,1,NYJ,BAL,1,2,10,59,0,3565,12,base,7,run,5,0,0,0,0,1
2022,1,NYJ,BAL,1,3,5,54,0,3541,12,base,7,pass,0,0,0,0,1,1
2022,1,NYJ,BAL,1,4,15,64,0,3533,,,,punt,0,0,0,0,0,0
2022,1,BAL,NYJ,2,1,10,72,0,3522,21,base,7,pass,4,0,0,0,0,0
2022,1,BAL,NYJ,2,2,6,68,0,3501,21,base,6,pass,4,0,0,0,1,1
2022,1,BAL,NYJ,2,3,2,64,0,3461,12,base,5,run,4,1,0,0,1,0
2022,1,BAL,NYJ,2,1,10,60,0,3421,heavy,base,7,run,0,0,0,0,1,0
2022,1,BAL,NYJ,2,2,10,60,0,3379,spread,nickel,5,pass,8,0,0,0,1,0
2022,1,BAL,NYJ,2,3,2,52,0,3340,heavy,base,8,run,1,0,0,0,0,0
2022,1,BAL,NYJ,2,4,1,51,0,3296,,,,punt,0,0,0,0,0,0
2022,1,NYJ,BAL,3,1,10,89,0,3289,12,base,7,run,-2,0,0,0,0,0
2022,1,NYJ,BAL,3,2,12,91,0,3251,11,dime,6,pass,3,0,0,0,1,0
2022,1,NYJ,BAL,3,3,9,88,0,3211,12,dime,5,penalty,5,1,0,0,1,0
2022,1,NYJ,BAL,3,1,10,83,0,3207,21,nickel,6,run,1,0,0,0,1,0
2022,1,NYJ,BAL,3,2,9,82,0,3171,11,nickel,6,run,0,0,0,0,1,0
2022,1,NYJ,BAL,3,3,9,82,0,3136,11,dime,5,pass,0,0,0,0,1,0
2022,1,NYJ,BAL,3,4,9,82,0,3132,,,,punt,0,0,0,0,0,0
2022,1,BAL,NYJ,4,1,10,66,0,3125,heavy,base,7,pass,0,0,0,0,1,0
2022,1,BAL,NYJ,4,2,10,66,0,3122,heavy,base,8,run,1,0,0,0,1,0
2022,1,BAL,NYJ,4,3,9,65,0,3073,12,dime,6,pass,0,0,0,0,1,0
2022,1,BAL,NYJ,4,4,9,65,0,3068,,,,punt,0,0,0,0,0,0
2022,1,NYJ,BAL,5,1,10,83,0,3061,12,base,7,pass,24,1,0,0,0,0
2022,1,NYJ,BAL,5,1,10,59,0,3021,12,base,7,run,1,0,0,0,0,0
2022,1,NYJ,BAL,5,1,19,68,0,3007,12,nickel,5,pass,0,0,0,1,1,0
2022,1,BAL,NYJ,6,1,10,13,0,2996,12,base,8,run,-1,0,0,0,1,0
2022,1,BAL,NYJ,6,2,11,14,0,2948,heavy,nickel,6,pass,8,0,0,0,1,0
2022,1,BAL,NYJ,6,3,3,6,0,2904,12,nickel,7,pass,0,0,0,0,1,0
2022,1,BAL,NYJ,6,4,3,6,0,2899,,,,field_goal,0,0,0,0,0,0
2022,1,NYJ,BAL,7,1,10,75,-3,2896,11,nickel,6,pass,0,0,0,0,0,0
2022,1,NYJ,BAL,7,2,10,75,-3,2891,11,nickel,5,pass,0,0,0,0,1,0
2022,1,NYJ,BAL,7,3,10,75,-3,2887,11,dime,6,pass,9,0,0,0,1,0
2022,1,NYJ,BAL,7,4,1,66,-3,2820,,,,punt,0,0,0,0,0,0
2022,1,BAL,NYJ,8,1,10,84,3,2813,21,base,8,pass,11,1,0,0,0,0
2022,1,BAL,NYJ,8,1,10,73,3,2772,21,base,6,pass,2,0,0,0,1,0
2022,1,BAL,NYJ,8,2,8,71,3,2725,21,base,6,run,3,0,0,0,1,0
2022,1,BAL,NYJ,8,3,5,68,3,2700,12,nickel,6,pass,0,0,0,0,1,0
2022,1,BAL,NYJ,8,4,5,68,3,2696,,,,punt,0,0,0,0,0,0
2022,1,NYJ,BAL,9,1,10,71,-3,2685,12,base,7,pass,15,1,0,0,0,0
2022,1,NYJ,BAL,9,1,10,56,-3,2658,12,base,7,pass,11,1,0,0,1,1
2022,1,NYJ,BAL,9,1,10,45,-3,2617,12,base,7,run,4,0,0,0,0,0
2022,1,NYJ,BAL,9,2,6,41,-3,2581,21,nickel,6,pass,8,1,0,0,1,0
2022,1,NYJ,BAL,9,1,10,33,-3,2540,12,base,8,run,0,0,0,0,0,0
2022,1,NYJ,BAL,9,2,10,33,-3,2500,11,dime,6,pass,6,0,0,0,1,0
2022,1,NYJ,BAL,9,3,4,27,-3,2460,11,dime,5,pass,0,0,0,0,1,0
2022,1,NYJ,BAL,9,4,4,27,-3,2455,,,,field_goal,0,0,0,0,0,0
2022,1,BAL,NYJ,10,1,10,65,3,2451,21,base,7,pass,5,0,0,0,1,0
2022,1,BAL,NYJ,10,2,5,60,3,2417,21,base,6,pass,11,1,0,0,1,0
2022,1,BAL,NYJ,10,1,10,49,3,2383,21,base,6,pass,0,0,0,0,1,0
2022,1,BAL,NYJ,10,2,10,49,3,2339,heavy,base,7,pass,-2,0,0,0,1,0
2022,1,BAL,NYJ,10,3,12,51,3,2296,12,nickel,6,pass,0,0,0,0,1,0
2022,1,BAL,NYJ,10,4,12,51,3,2288,,,,punt,0,0,0,0,0,0
2022,1,NYJ,BAL,11,1,10,89,-3,2281,12,base,7,run,14,1,0,0,0,0
2022,1,NYJ,BAL,11,1,10,75,-3,2256,12,base,6,pass,5,0,0,0,0,1
2022,1,NYJ,BAL,11,2,5,70,-3,2214,21,nickel,6,pass,6,1,0,0,1,0
2022,1,NYJ,BAL,11,1,10,64,-3,2177,21,nickel,6,pass,-6,0,0,0,1,0
2022,1,NYJ,BAL,11,2,16,70,-3,2132,11,dime,6,pass,-1,0,0,0,1,0
2022,1,NYJ,BAL,11,3,17,71,-3,2095,spread,dime,3,pass,0,0,0,0,1,0
2022,1,NYJ,BAL,11,4,17,71,-3,2090,,,,punt,0,0,0,0,0,0
2022,1,BAL,NYJ,12,1,10,62,3,2081,heavy,base,7,penalty,32,1,0,0,0,0
2022,1,BAL,NYJ,12,1,10,30,3,2075,heavy,base,7,pass,0,0,0,0,1,0
2022,1,BAL,NYJ,12,2,10,30,3,2069,11,nickel,6,pass,5,0,0,0,1,0
2022,1,BAL,NYJ,12,3,5,25,3,2031,12,dime,6,pass,25,1,1,0,1,0
2022,1,NYJ,BAL,13,1,10,75,-10,2025,11,nickel,6,run,5,0,0,0,0,0
2022,1,NYJ,BAL,13,2,5,70,-10,1994,11,nickel,6,run,22,1,0,0,0,0
2022,1,NYJ,BAL,13,1,10,48,-10,1954,11,nickel,7,pass,3,0,0,0,1,0
2022,1,NYJ,BAL,13,2,7,45,-10,1920,11,nickel,6,pass,13,1,0,0,1,0
2022,1,NYJ,BAL,13,1,10,32,-10,1886,11,nickel,6,run,5,0,0,0,0,0
2022,1,NYJ,BAL,13,2,5,27,-10,1880,11,nickel,7,run,0,0,0,0,1,0
2022,1,NYJ,BAL,13,3,5,27,-10,1876,11,dime,5,pass,2,0,0,0,1,0
2022,1,NYJ,BAL,13,4,5,27,-10,1828,,,,field_goal,0,0,0,0,0,0
2022,1,BAL,NYJ,14,1,10,75,7,1824,11,nickel,5,run,3,0,0,0,1,0
2022,1,BAL,NYJ,15,1,10,75,7,1800,heavy,base,7,run,2,0,0,0,0,0
2022,1,BAL,NYJ,15,2,8,73,7,1762,12,nickel,5,pass,0,0,0,0,1,0
2022,1,BAL,NYJ,15,3,8,73,7,1755,heavy,dime,5,run,8,1,0,0,1,0
2022,1,BAL,NYJ,15,1,10,65,7,1714,21,base,8,run,1,0,0,0,0,0
2022,1,BAL,NYJ,15,2,9,64,7,1678,12,nickel,6,pass,0,0,0,0,1,0
2022,1,BAL,NYJ,15,3,9,64,7,1670,12,nickel,6,pass,0,0,0,0,1,0
2022,1,BAL,NYJ,15,4,9,64,7,1665,,,,punt,0,0,0,0,0,0
2022,1,NYJ,BAL,16,1,10,80,-7,1658,11,nickel,6,pass,-5,0,0,0,0,0
2022,1,NYJ,BAL,16,2,15,85,-7,1616,11,dime,6,pass,0,0,0,0,1,0
2022,1,NYJ,BAL,16,3,15,85,-7,1576,11,dime,3,pass,9,0,0,0,1,0
2022,1,NYJ,BAL,16,4,6,76,-7,1530,,,,punt,0,0,0,0,0,0
2022,1,BAL,NYJ,17,1,10,44,7,1524,21,base,7,pass,15,1,0,0,0,0
2022,1,BAL,NYJ,17,1,10,29,7,1489,21,base,7,run,6,0,0,0,1,0
2022,1,BAL,NYJ,17,2,4,23,7,1453,heavy,base,7,run,6,1,0,0,0,0
2022,1,BAL,NYJ,17,1,10,17,7,1409,11,nickel,6,run,-1,0,0,0,1,0
2022,1,BAL,NYJ,17,2,11,18,7,1383,21,base,6,run,1,0,0,0,1,0
2022,1,BAL,NYJ,17,3,10,17,7,1340,11,nickel,6,pass,17,1,1,0,1,0
2022,1,NYJ,BAL,18,1,10,75,-14,1334,11,nickel,6,run,1,0,0,0,0,0
2022,1,NYJ,BAL,18,2,9,74,-14,1298,11,dime,6,pass,0,0,0,0,1,0
2022,1,NYJ,BAL,18,3,9,74,-14,1290,11,dime,5,penalty,5,1,0,0,1,1
2022,1,NYJ,BAL,18,1,10,69,-14,1266,11,nickel,7,run,2,0,0,0,0,0
2022,1,NYJ,BAL,18,2,8,67,-14,1231,11,nickel,6,run,6,0,0,0,0,0
2022,1,NYJ,BAL,18,3,2,61,-14,1194,11,nickel,7,pass,0,0,0,0,1,0
2022,1,NYJ,BAL,18,4,2,61,-14,1188,,,,punt,0,0,0,0,0,0
