season,week,offense,defense,dropbacks,pressures,rushers,box
2022,1,LA,BUF,41,11,4.00,5.63
2022,1,BUF,LA,31,3,4.19,6.07
2022,1,NO,ATL,32,9,4.50,6.31
2022,1,ATL,NO,32,3,3.47,6.45
2022,1,CLE,CAR,32,9,4.28,6.79
2022,1,CAR,CLE,27,7,4.19,6.53
2022,1,SF,CHI,28,10,3.82,6.09
2022,1,CHI,SF,17,9,4.12,6.88
2022,1,CIN,PIT,53,12,4.09,5.83
2022,1,PIT,CIN,37,12,4.49,6.49
2022,1,PHI,DET,32,10,4.31,6.77
2022,1,DET,PHI,37,11,4.30,6.60
2022,1,HOU,IND,37,10,4.27,6.04
2022,1,IND,HOU,50,6,4.24,6.04
2022,1,MIA,NE,33,9,4.36,6.58
2022,1,NE,MIA,30,4,3.97,6.71
2022,1,BAL,NYJ,30,7,4.00,6.52
2022,1,NYJ,BAL,59,18,4.24,5.82
2022,1,TEN,NYG,32,11,4.34,6.72
2022,1,NYG,TEN,21,12,4.24,6.21
2022,1,WAS,JAX,41,9,4.37,6.45
2022,1,JAX,WAS,42,23,4.40,6.01
2022,1,ARI,KC,38,11,4.26,5.77
2022,1,KC,ARI,39,13,4.54,6.66
2022,1,LV,LAC,37,15,4.14,5.97
2022,1,LAC,LV,34,15,4.24,6.49
2022,1,GB,MIN,38,9,3.87,5.92
2022,1,MIN,GB,32,14,4.13,6.13
2022,1,TB,DAL,27,5,4.07,6.53
2022,1,DAL,TB,42,11,4.24,6.19
2022,1,DEN,SEA,42,14,4.12,5.95
2022,1,SEA,DEN,28,9,4.11,6.13
2022,2,LAC,KC,48,14,4.23,6.32
2022,2,KC,LAC,35,9,4.49,6.11
2022,2,MIA,BAL,50,13,3.84,5.99
2022,2,BAL,MIA,29,6,5.00,7.28
2022,2,CLE,NYJ,27,8,4.26,6.60
2022,2,NYJ,CLE,45,18,4.07,6.10
2022,2,WAS,DET,46,14,4.43,6.16
2022,2,DET,WAS,34,13,4.71,6.49
2022,2,JAX,IND,30,10,4.23,6.08
2022,2,IND,JAX,30,12,4.27,6.20
2022,2,TB,NO,34,2,4.09,6.51
2022,2,NO,TB,40,10,4.08,6.49
2022,2,NYG,CAR,34,12,3.82,6.42
2022,2,CAR,NYG,29,10,4.28,6.45
2022,2,NE,PIT,35,8,4.51,6.24
2022,2,PIT,NE,33,3,3.94,6.31
2022,2,LA,ATL,36,9,4.06,6.50
2022,2,ATL,LA,26,11,4.35,6.16
2022,2,SEA,SF,31,11,4.06,5.90
2022,2,SF,SEA,24,7,4.25,6.75
2022,2,CIN,DAL,36,5,4.06,6.20
2022,2,DAL,CIN,30,11,4.33,6.44
2022,2,DEN,HOU,31,5,4.10,6.42
2022,2,HOU,DEN,38,13,4.53,5.90
2022,2,ARI,LV,49,12,3.94,5.85
2022,2,LV,ARI,39,12,4.49,6.33
2022,2,CHI,GB,11,5,4.18,6.32
2022,2,GB,CHI,25,2,3.88,6.19
2022,2,TEN,BUF,24,12,4.08,6.09
2022,2,BUF,TEN,40,10,4.10,6.19
2022,2,MIN,PHI,46,13,4.39,5.95
2022,2,PHI,MIN,31,11,4.03,5.95
2022,3,PIT,CLE,32,8,4.06,6.12
2022,3,CLE,PIT,31,3,4.29,6.90
2022,3,NO,CAR,41,15,4.66,6.71
2022,3,CAR,NO,25,6,4.40,6.72
2022,3,HOU,CHI,32,6,4.19,6.41
2022,3,CHI,HOU,17,3,4.24,6.27
2022,3,KC,IND,36,12,3.86,6.02
2022,3,IND,KC,37,12,4.32,6.37
2022,3,MIA,BUF,20,5,4.00,6.05
2022,3,BUF,MIA,62,24,4.29,6.42
2022,3,MIN,DET,40,13,4.78,6.59
2022,3,DET,MIN,40,11,4.15,6.17
2022,3,NE,BAL,32,9,3.91,6.33
2022,3,BAL,NE,29,9,4.48,6.71
2022,3,NYJ,CIN,52,17,4.02,5.82
2022,3,CIN,NYJ,36,13,4.31,6.53
2022,3,LV,TEN,45,12,4.02,5.96
2022,3,TEN,LV,27,10,4.59,6.63
2022,3,PHI,WAS,35,9,4.17,6.36
2022,3,WAS,PHI,43,14,4.30,6.13
2022,3,LAC,JAX,45,18,4.33,6.25
2022,3,JAX,LAC,39,8,4.26,6.39
2022,3,LA,ARI,25,10,4.56,6.10
2022,3,ARI,LA,58,12,4.24,5.46
2022,3,ATL,SEA,20,9,4.00,6.47
2022,3,SEA,ATL,44,13,4.18,6.15
2022,3,GB,TB,35,9,4.26,6.71
2022,3,TB,GB,42,13,4.50,5.89
2022,3,DEN,SF,33,8,4.27,6.50
2022,3,SF,DEN,29,6,4.17,6.02
2022,3,NYG,DAL,37,15,4.16,6.38
2022,3,DAL,NYG,31,10,4.26,6.98
2022,4,MIA,CIN,37,14,3.97,6.00
2022,4,CIN,MIA,32,6,4.34,6.95
2022,4,NO,MIN,28,5,4.14,6.12
2022,4,MIN,NO,39,12,4.10,6.01
2022,4,ATL,CLE,19,9,4.84,7.05
2022,4,CLE,ATL,35,10,4.23,6.64
2022,4,BAL,BUF,29,8,4.24,6.26
2022,4,BUF,BAL,36,8,4.36,6.21
