season,player,team,redTargets,redCarries,goalCarries,scores,teamRedTargets,teamRedCarries,teamGoalCarries,teamScores
2021,00-0034681,ARI,7,20,5,2,88,103,31,54
2021,00-0036936,ARI,8,5,1,1,88,103,31,54
2021,00-0027942,ARI,18,0,0,3,88,103,31,54
2021,00-0030155,ARI,1,0,0,0,88,103,31,54
2021,00-0030564,ARI,15,0,0,8,88,103,31,54
2021,00-0027944,TEN,7,0,0,1,86,88,29,48
2021,00-0032141,TEN,8,0,0,3,86,88,29,48
2021,00-0036182,TEN,11,0,0,4,86,88,29,48
2021,00-0032764,TEN,2,38,12,11,86,88,29,48
2021,00-0029701,TEN,0,14,7,7,86,88,29,48
2021,00-0033553,ARI,3,43,19,19,88,103,31,54
2021,00-0035228,ARI,0,25,5,5,88,103,31,54
2021,00-0035676,TEN,12,1,0,6,86,88,29,48
2021,00-0034775,ARI,10,0,0,5,88,103,31,54
2021,00-0036457,BAL,3,5,1,1,86,76,25,43
2021,00-0035249,BAL,2,0,0,0,86,76,25,43
2021,00-0035662,BAL,18,0,0,6,86,76,25,43
2021,00-0036357,LV,1,1,0,2,99,79,22,41
2021,00-0031610,LV,18,0,0,2,99,79,22,41
2021,00-0035700,LV,7,39,13,9,99,79,22,41
2021,00-0035125,LV,3,1,1,1,99,79,22,41
2021,00-0034983,LV,27,0,0,9,99,79,22,41
2021,00-0030513,BAL,4,22,6,6,86,76,25,43
2021,00-0031280,LV,0,8,2,0,99,79,22,41
2021,00-0030663,LV,2,0,0,0,99,79,22,41
2021,00-0033891,LV,10,0,0,2,99,79,22,41
2021,00-0030874,CHI,1,8,4,3,67,88,25,33
2021,00-0030068,CHI,3,1,1,1,67,88,25,33
2021,00-0036309,CHI,12,3,0,5,67,88,25,33
2021,00-0036415,LA,18,0,0,6,140,110,25,67
2021,00-0035664,LA,11,27,9,8,140,110,25,67
2021,00-0033908,LA,49,1,0,22,140,110,25,67
2021,00-0030431,LA,17,2,0,5,140,110,25,67
2021,00-0031428,CHI,7,0,0,1,67,88,25,33
2021,00-0035685,CHI,8,43,13,7,67,88,25,33
2021,00-0027973,CHI,0,8,2,0,67,88,25,33
2021,00-0027696,CHI,9,0,0,3,67,88,25,33
2021,00-0036945,CHI,0,10,1,2,67,88,25,33
2021,00-0033110,LA,21,0,0,5,140,110,25,67
2021,00-0026498,LA,0,15,5,2,140,110,25,67
2021,00-0032392,CLE,13,0,0,3,62,95,23,42
2021,00-0034791,CLE,1,41,11,9,62,95,23,42
2021,00-0033923,CLE,4,18,5,5,62,95,23,42
2021,00-0033040,KC,32,2,0,12,126,103,29,69
2021,00-0032775,KC,4,0,0,3,126,103,29,69
2021,00-0033885,CLE,9,0,0,4,62,95,23,42
2021,00-0031382,CLE,10,4,2,4,62,95,23,42
2021,00-0029164,KC,1,0,0,0,126,103,29,69
2021,00-0033873,KC,0,23,3,3,126,103,29,69
2021,00-0030506,KC,21,2,2,13,126,103,29,69
2021,00-0034301,KC,10,34,14,8,126,103,29,69
2021,00-0036360,KC,6,15,3,6,126,103,29,69
2021,00-0033856,TB,18,44,15,12,139,89,33,70
2021,00-0033921,TB,26,2,2,6,139,89,33,70
2021,00-0036358,DAL,13,2,1,6,116,86,29,60
2021,00-0027656,TB,14,0,0,7,139,89,33,70
2021,00-0033045,DAL,17,42,17,12,116,86,29,60
2021,00-0031544,DAL,21,0,0,9,116,86,29,60
2021,00-0033077,DAL,0,17,7,2,116,86,29,60
2021,00-0034764,DAL,8,0,0,2,116,86,29,60
2021,00-0027793,TB,3,0,0,4,139,89,33,70
2021,00-0035261,DAL,8,17,2,3,116,86,29,60
2021,00-0036412,DEN,1,0,0,0,73,87,25,39
2021,00-0035644,DEN,17,0,0,4,73,87,25,39
2021,00-0036997,DEN,8,31,10,7,73,87,25,39
2021,00-0031237,DEN,0,11,3,2,73,87,25,39
2021,00-0032385,NYG,9,0,0,1,58,50,16,26
2021,00-0036423,DEN,5,0,0,2,73,87,25,39
2021,00-0033375,DEN,11,0,0,5,73,87,25,39
2021,00-0034844,NYG,3,12,3,4,58,50,16,26
2021,00-0032972,NYG,2,16,5,3,58,50,16,26
2021,00-0027981,NYG,9,0,0,1,58,50,16,26
2021,00-0033932,NYG,11,0,0,0,58,50,16,26
2021,00-0032144,DEN,8,40,11,10,73,87,25,39
2021,00-0035535,NYG,2,0,0,2,58,50,16,26
2021,00-0033367,NYG,1,0,0,0,58,50,16,26
2021,00-0035710,NYG,0,15,5,2,58,50,16,26
2021,00-0033906,NO,14,42,12,9,71,79,18,44
2021,00-0035860,NO,1,4,1,0,71,79,18,44
