season,player,team,situation,touches,scores,yards,teamPlays
2021,00-0032764,TEN,earlyAndLong,157,2,775,577
2021,00-0032355,TEN,thirdAndLong,10,0,82,93
2021,00-0030564,ARI,earlyAndLong,28,0,297,560
2021,00-0035228,ARI,earlyAndLong,35,0,190,560
2021,00-0034681,ARI,earlyAndLong,103,0,497,560
2021,00-0027942,ARI,earlyAndLong,37,0,274,560
2021,00-0034681,ARI,insideTen,9,0,13,64
2021,00-0034775,ARI,earlyAndLong,56,0,494,560
2021,00-0036936,ARI,redZone,10,0,14,95
2021,00-0027942,ARI,insideTen,8,1,14,64
2021,00-0030564,ARI,insideTen,6,3,23,64
2021,00-0033955,TEN,thirdAndLong,17,0,109,93
2021,00-0030564,ARI,earlyDown,8,0,70,144
2021,00-0027942,ARI,thirdAndMedium,9,1,116,52
2021,00-0032355,TEN,earlyAndLong,22,0,178,577
2021,00-0033553,ARI,earlyAndLong,123,1,658,560
2021,00-0034681,ARI,earlyDown,23,0,92,144
2021,00-0033553,ARI,earlyDown,34,0,122,144
2021,00-0030564,ARI,redZone,7,4,65,95
2021,00-0035676,TEN,earlyAndLong,65,2,668,577
2021,00-0033455,TEN,earlyAndLong,11,0,73,577
2021,00-0027944,TEN,redZone,4,0,8,95
2021,00-0032141,TEN,redZone,4,0,8,95
2021,00-0036182,TEN,redZone,6,1,53,95
2021,00-0032764,TEN,goalLine,11,5,10,34
2021,00-0029701,TEN,goalLine,5,5,6,34
2021,00-0031558,ARI,earlyAndLong,12,0,137,560
2021,00-0036936,ARI,thirdAndLong,15,0,98,93
2021,00-0035228,ARI,earlyDown,9,0,79,144
2021,00-0034775,ARI,thirdAndMedium,10,1,126,52
2021,00-0033553,ARI,redZone,16,4,98,95
2021,00-0034681,ARI,redZone,14,1,64,95
2021,00-0033553,ARI,insideTen,14,3,57,64
2021,00-0035228,ARI,goalLine,5,3,3,36
2021,00-0027944,TEN,earlyAndLong,22,0,188,577
2021,00-0033955,TEN,earlyAndLong,25,0,108,577
2021,00-0027944,TEN,earlyDown,12,0,155,145
2021,00-0035676,TEN,thirdAndShort,4,0,10,39
2021,00-0036936,ARI,earlyAndLong,45,1,343,560
2021,00-0035676,TEN,redZone,9,3,67,95
2021,00-0032764,TEN,earlyDown,41,0,151,145
2021,00-0027944,TEN,thirdAndMedium,6,0,44,70
2021,00-0034775,ARI,redZone,4,1,28,95
2021,00-0035676,TEN,earlyDown,6,0,26,145
2021,00-0035676,TEN,thirdAndMedium,11,0,49,70
2021,00-0036182,TEN,earlyAndLong,21,0,180,577
2021,00-0033455,TEN,thirdAndLong,14,0,107,93
2021,00-0034681,ARI,thirdAndMedium,4,0,52,52
2021,00-0033553,ARI,thirdAndMedium,5,0,47,52
2021,00-0032355,TEN,earlyDown,3,0,26,145
2021,00-0033553,ARI,thirdAndShort,18,1,56,43
2021,00-0033553,ARI,aheadLate,8,0,8,13
2021,00-0035228,ARI,thirdAndLong,8,0,63,93
2021,00-0033955,TEN,chasingLate,12,0,51,36
2021,00-0031610,LV,earlyAndLong,53,0,403,552
2021,00-0035125,LV,earlyAndLong,6,0,64,552
2021,00-0033118,LV,earlyAndLong,52,1,324,552
2021,00-0031280,LV,earlyAndLong,10,0,53,552
2021,00-0031610,LV,thirdAndLong,8,0,94,79
2021,00-0035700,LV,earlyAndLong,169,0,810,552
