season,week,team,points,pts_allow,sack,int,fum_rec,def_td,safe,blk_kick
2024,1,ARI,6.02,26,2.05,0.67,0.5,0.11,0.01,0.06
2024,1,ATL,7.71,19.25,2.86,0.82,0.61,0.14,0.02,0.07
2024,1,BAL,6.65,24.25,2.32,0.69,0.57,0.11,0.02,0.05
2024,1,BUF,7.52,19.5,2.61,0.87,0.56,0.12,0.02,0.06
2024,1,CAR,6.87,22.5,2.4,0.74,0.55,0.12,0.02,0.06
2024,1,CHI,7.6,19.5,2.72,0.84,0.59,0.13,0.02,0.06
2024,1,CIN,8,16.75,2.8,0.92,0.64,0.14,0.02,0.07
2024,1,CLE,7.2,20,2.46,0.72,0.56,0.17,0.02,0.06
2024,1,DAL,7.29,22,2.49,0.8,0.53,0.16,0.02,0.05
2024,1,DEN,6.7,24.25,2.33,0.74,0.55,0.12,0.02,0.06
2024,1,DET,6.78,24.25,2.46,0.8,0.51,0.1,0.02,0.06
2024,1,GB,6.68,25.5,2.35,0.75,0.52,0.12,0.02,0.06
2024,1,HOU,7.02,22.5,2.5,0.75,0.58,0.12,0.02,0.06
2024,1,IND,6.31,25.5,2.23,0.69,0.51,0.11,0.01,0.06
2024,1,JAX,6.28,26.5,2.32,0.66,0.5,0.11,0.01,0.06
2024,1,KC,7.16,21.75,2.46,0.76,0.54,0.15,0.02,0.05
2024,1,LA,6.91,29.25,2.51,0.73,0.55,0.12,0.01,0.06
2024,1,LAC,6.75,18.75,2.46,0.72,0.54,0.12,0.02,0.06
2024,1,LV,6.81,21.75,2.57,0.71,0.54,0.12,0.02,0.06
2024,1,MIA,7.44,23,2.66,0.8,0.61,0.12,0.02,0.06
2024,1,MIN,7.42,21,2.71,0.75,0.57,0.14,0.02,0.06
2024,1,NE,5.35,24.25,2.17,0.64,0.47,0.11,0.01,0.05
2024,1,NO,7.76,19,2.69,0.87,0.6,0.14,0.02,0.07
2024,1,NYG,7.45,21,2.75,0.72,0.6,0.14,0.02,0.07
2024,1,NYJ,6.37,23.25,2.3,0.72,0.48,0.11,0.01,0.05
2024,1,PHI,6.69,24,2.4,0.73,0.5,0.11,0.02,0.06
2024,1,PIT,6.95,23.25,2.56,0.71,0.49,0.13,0.02,0.05
2024,1,SEA,7.87,17.75,2.86,0.87,0.6,0.14,0.02,0.07
2024,1,SF,7.3,19.75,2.58,0.75,0.6,0.14,0.02,0.05
2024,1,TB,7.77,19.25,2.68,0.87,0.61,0.14,0.02,0.07
2024,1,TEN,6.13,23.5,2.16,0.67,0.5,0.11,0.01,0.06
2024,1,WAS,6.5,22.75,2.28,0.71,0.52,0.12,0.02,0.06
2024,2,ARI,6.31,25.5,2.18,0.71,0.53,0.12,0.06,0.06
2024,2,ATL,6.47,26,2.33,0.76,0.52,0.11,0.06,0.06
2024,2,BAL,8.66,16.5,3.04,0.91,0.65,0.19,0.06,0.06
2024,2,BUF,6.57,25.5,2.34,0.78,0.5,0.1,0.05,0.05
2024,2,CAR,6.56,21.5,2.34,0.72,0.54,0.12,0.06,0.06
2024,2,CHI,6.23,25.5,2.27,0.71,0.49,0.1,0.05,0.05
