season,week,gsisId
2026,1, 00-0033149
2026,1, 00-0033508
2026,1, 00-0033745
2026,1, 00-0033766
2026,1, 00-0034103
2026,1, 00-0034119
2026,1, 00-0034901
2026,1, 00-0034918
2026,1, 00-0034927
2026,1, 00-0034946
2026,1, 00-0034965
2026,1, 00-0035031
2026,1, 00-0035034
2026,1, 00-0035035
2026,1, 00-0035037
2026,1, 00-0035038
2026,1, 00-0035057
2026,1, 00-0035067
2026,1, 00-0035074
2026,1, 00-0035077
2026,1, 00-0035078
2026,1, 00-0035083
2026,1, 00-0035086
2026,1, 00-0035092
2026,1, 00-0035097
2026,1, 00-0035109
2026,1, 00-0035114
2026,1, 00-0035119
2026,1, 00-0035170
2026,1, 00-0035176
2026,1, 00-0035182
2026,1, 00-0035206
2026,1, 00-0035209
2026,1, 00-0035212
2026,1, 00-0035322
2026,1, 00-0035325
2026,1, 00-0035366
2026,1, 00-0035367
2026,1, 00-0035376
2026,1, 00-0035405
2026,1, 00-0035438
2026,1, 00-0035443
2026,1, 00-0035460
2026,1, 00-0035471
2026,1, 00-0035479
2026,1, 00-0035484
2026,1, 00-0035524
2026,1, 00-0035552
2026,1, 00-0035569
2026,1, 00-0035574
2026,1, 00-0035583
2026,1, 00-0035601
2026,1, 00-0035604
2026,1, 00-0035605
2026,1, 00-0035606
2026,1, 00-0035610
2026,1, 00-0035614
2026,1, 00-0035635
2026,1, 00-0035653
2026,1, 00-0035658
2026,1, 00-0035706
2026,1, 00-0035716
2026,1, 00-0035718
2026,1, 00-0035723
2026,1, 00-0035725
2026,1, 00-0035730
2026,1, 00-0035733
2026,1, 00-0035740
2026,1,00-0008884
2026,1,00-0019596
2026,1,00-0020531
2026,1,00-0021206
2026,1,00-0022127
2026,1,00-0022787
2026,1,00-0022921
2026,1,00-0022924
2026,1,00-0022942
2026,1,00-0022943
2026,1,00-0023436
2026,1,00-0023500
2026,1,00-0023564
2026,1,00-0023682
2026,1,00-0024221
2026,1,00-0024243
2026,1,00-0024389
2026,1,00-0025394
2026,1,00-0025396
2026,1,00-0025399
2026,1,00-0025430
2026,1,00-0025708
2026,1,00-0026035
2026,1,00-0026143
2026,1,00-0026158
2026,1,00-0026189
2026,1,00-0026197
2026,1,00-0026293
2026,1,00-0026300
2026,1,00-0026544
2026,1,00-0026625
2026,1,00-0026986
2026,1,00-0027029
2026,1,00-0027061
2026,1,00-0027150
2026,1,00-0027215
2026,1,00-0027656
2026,1,00-0027685
2026,1,00-0027688
2026,1,00-0027691
2026,1,00-0027696
2026,1,00-0027793
2026,1,00-0027796
2026,1,00-0027876
2026,1,00-0027891
2026,1,00-0027902
2026,1,00-0027925
2026,1,00-0027939
2026,1,00-0027942
2026,1,00-0027944
2026,1,00-0027948
2026,1,00-0027966
2026,1,00-0027973
2026,1,00-0027981
2026,1,00-0027985
2026,1,00-0028002
2026,1,00-0028042
2026,1,00-0028063
2026,1,00-0028064
2026,1,00-0028074
2026,1,00-0028087
2026,1,00-0028097
2026,1,00-0028112
2026,1,00-0028114
2026,1,00-0028118
2026,1,00-0028142
2026,1,00-0028149
2026,1,00-0028237
2026,1,00-0028411
2026,1,00-0028581
2026,1,00-0028903
2026,1,00-0028986
2026,1,00-0029000
2026,1,00-0029119
2026,1,00-0029137
2026,1,00-0029141
2026,1,00-0029159
2026,1,00-0029239
2026,1,00-0029263
2026,1,00-0029269
2026,1,00-0029273
2026,1,00-0029293
2026,1,00-0029319
2026,1,00-0029492
2026,1,00-0029567
2026,1,00-0029572
2026,1,00-0029587
2026,1,00-0029608
2026,1,00-0029615
2026,1,00-0029623
2026,1,00-0029632
2026,1,00-0029664
2026,1,00-0029665
2026,1,00-0029701
2026,1,00-0029738
2026,1,00-0029848
2026,1,00-0029854
2026,1,00-0029857
2026,1,00-0029931
2026,1,00-0029981
2026,1,00-0030035
2026,1,00-0030061
2026,1,00-0030068
2026,1,00-0030085
2026,1,00-0030089
2026,1,00-0030107
2026,1,00-0030108
2026,1,00-0030147
2026,1,00-0030151
2026,1,00-0030155
2026,1,00-0030181
2026,1,00-0030202
2026,1,00-0030216
2026,1,00-0030240
2026,1,00-0030288
2026,1,00-0030300
2026,1,00-0030404
2026,1,00-0030414
2026,1,00-0030431
2026,1,00-0030443
2026,1,00-0030456
2026,1,00-0030465
2026,1,00-0030470
2026,1,00-0030472
2026,1,00-0030496
2026,1,00-0030513
2026,1,00-0030520
2026,1,00-0030525
2026,1,00-0030533
2026,1,00-0030549
2026,1,00-0030564
2026,1,00-0030578
2026,1,00-0030663
2026,1,00-0030669
2026,1,00-0030670
2026,1,00-0030685
2026,1,00-0030710
2026,1,00-0030711
2026,1,00-0030741
2026,1,00-0030756
2026,1,00-0030821
2026,1,00-0030874
2026,1,00-0030968
2026,1,00-0031023
2026,1,00-0031035
2026,1,00-0031045
2026,1,00-0031051
2026,1,00-0031056
2026,1,00-0031060
2026,1,00-0031062
2026,1,00-0031068
2026,1,00-0031076
2026,1,00-0031121
2026,1,00-0031166
2026,1,00-0031167
2026,1,00-0031189
2026,1,00-0031209
2026,1,00-0031228
2026,1,00-0031236
2026,1,00-0031237
