season,week,gsisId,team,status,fetchedAt
2026,3,00-0031203,CHI,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0031364,HOU,Out,2026-09-26T14:58:25.380Z
2026,3,00-0031408,SF,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0032071,HOU,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0032103,LAC,IR,2026-09-26T14:58:25.380Z
2026,3,00-0032380,WAS,IR,2026-09-26T14:58:25.380Z
2026,3,00-0032667,NYG,IR,2026-09-26T14:58:25.380Z
2026,3,00-0032775,SF,Doubtful,2026-09-26T14:58:25.380Z
2026,3,00-0032965,BAL,Out,2026-09-26T14:58:25.380Z
2026,3,00-0033051,NYJ,IR,2026-09-26T14:58:25.380Z
2026,3,00-0033063,NO,IR,2026-09-26T14:58:25.380Z
2026,3,00-0033284,CAR,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0033375,NYJ,IR,2026-09-26T14:58:25.380Z
2026,3,00-0033546,LAC,Out,2026-09-26T14:58:25.380Z
2026,3,00-0033553,ARI,IR,2026-09-26T14:58:25.380Z
2026,3,00-0033868,LAR,IR,2026-09-26T14:58:25.380Z
2026,3,00-0033872,MIN,IR,2026-09-26T14:58:25.380Z
2026,3,00-0033877,DAL,Out,2026-09-26T14:58:25.380Z
2026,3,00-0033885,LAC,IR,2026-09-26T14:58:25.380Z
2026,3,00-0033902,TEN,IR,2026-09-26T14:58:25.380Z
2026,3,00-0033947,WAS,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0033955,WAS,IR,2026-09-26T14:58:25.380Z
2026,3,00-0034277,PIT,IR,2026-09-26T14:58:25.380Z
2026,3,00-0034302,WAS,Out,2026-09-26T14:58:25.380Z
2026,3,00-0034351,PHI,Doubtful,2026-09-26T14:58:25.380Z
2026,3,00-0034355,HOU,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0034377,DET,IR,2026-09-26T14:58:25.380Z
2026,3,00-0034573,IND,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0034611,TEN,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0034775,SF,IR,2026-09-26T14:58:25.380Z
2026,3,00-0034779,MIA,IR,2026-09-26T14:58:25.380Z
2026,3,00-0034789,NYJ,Out,2026-09-26T14:58:25.380Z
2026,3,00-0034800,CIN,Doubtful,2026-09-26T14:58:25.380Z
2026,3,00-0034827,BUF,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0034828,NE,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0034836,HOU,IR,2026-09-26T14:58:25.380Z
2026,3,00-0034974,SEA,Out,2026-09-26T14:58:25.380Z
2026,3,00-0034987,HOU,PUP,2026-09-26T14:58:25.380Z
2026,3,00-0035021,IND,Out,2026-09-26T14:58:25.380Z
2026,3,00-0035045,IND,IR,2026-09-26T14:58:25.380Z
2026,3,00-0035062,JAX,IR,2026-09-26T14:58:25.380Z
2026,3,00-0035112,JAX,IR,2026-09-26T14:58:25.380Z
2026,3,00-0035227,DAL,Out,2026-09-26T14:58:25.380Z
2026,3,00-0035230,BUF,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0035359,TB,IR,2026-09-26T14:58:25.380Z
2026,3,00-0035645,NYG,IR,2026-09-26T14:58:25.380Z
2026,3,00-0035662,PHI,Questionable,2026-09-26T14:58:25.380Z
2026,3,00-0035665,NO,IR,2026-09-26T14:58:25.380Z
2026,3,00-0035669,CAR,Out,2026-09-26T14:58:25.380Z
2026,3,00-0035676,NE,IR,2026-09-26T14:58:25.380Z
2026,3,00-0035678,NE,Out,2026-09-26T14:58:25.380Z
2026,3,00-0035686,DEN,IR,2026-09-26T14:58:25.380Z
