season,week,gsisId,position,points,targets,carries
2026,1,00-0039299,RB,5.6,1.48,4.99
2026,1,00-0041512,RB,9.78,1.31,12.78
2026,1,00-0041395,TE,4.57,2.55,0
2026,1,00-0034869,QB,19.81,0,2.92
2026,1,00-0040648,WR,3.52,2.08,0.05
2026,1,00-0038797,RB,2.42,0.34,3.02
2026,1,00-0039851,QB,21.35,0,4.26
2026,1,00-0040556,RB,0.18,0.01,0.26
2026,1,00-0040739,TE,3.9,2.36,0
2026,1,00-0033555,WR,3.58,1.95,0.04
2026,1,00-0035676,WR,16.84,8.02,0.04
2026,1,00-0038543,WR,19.69,9.28,0.42
2026,1,00-0040131,WR,0.27,0.16,0.05
2026,1,00-0033090,TE,9.41,4.75,0
2026,1,00-0033908,WR,7.91,4.26,0.06
2026,1,00-0033576,TE,0.48,0.28,0
2026,1,00-0037545,WR,9.07,4.72,0.62
2026,1,00-0040563,WR,0.13,0.06,0
2026,1,00-0039793,TE,9.32,4.67,0.57
2026,1,00-0040734,RB,10.05,2.47,8.38
2026,1,00-0036875,RB,11.76,2.08,12.66
2026,1,00-0037816,WR,10.57,5.78,0
2026,1,00-0038621,WR,6.42,3.34,0.34
2026,1,00-0040590,WR,0.87,0.65,0
2026,1,00-0029892,FB,1.68,0.92,0.11
2026,1,00-0033288,TE,10.09,4.5,0
2026,1,00-0039074,TE,0.8,0.46,0
2026,1,00-0038359,WR,1.05,0.53,0.09
2026,1,00-0039738,RB,8.52,1.06,10.72
2026,1,00-0026498,QB,19.31,0,1.31
2026,1,00-0039075,WR,20.48,9.66,0.45
2026,1,00-0040172,WR,0.22,0.13,0
2026,1,00-0041035,WR,6.9,3.82,0.17
2026,1,00-0037834,QB,21.23,0,3.95
2026,1,00-0037112,TE,2.17,1.22,0
2026,1,00-0040177,RB,1.7,0.34,1.85
2026,1,00-0033110,TE,2.07,1.18,0
2026,1,00-0032775,WR,2.83,1.54,0
2026,1,00-0040737,TE,3.69,2.56,0
2026,1,00-0041510,TE,1.66,0.99,0
2026,1,00-0031381,WR,12.28,6.79,0
2026,1,00-0031408,WR,12.77,6.78,0
2026,1,00-0035719,WR,10.13,5.03,0.89
2026,1,00-0036244,TE,5.42,2.85,0
2026,1,00-0036887,TE,0.62,0.35,0
2026,1,00-0037557,RB,0.16,0.02,0.22
2026,1,00-0039365,WR,0.02,0.01,0
2026,1,00-0039751,WR,0.63,0.35,0.07
2026,1,00-0041052,RB,1.93,0.39,2.3
2026,1,00-0033280,RB,21.03,5.53,17.64
2026,1,00-0036849,WR,0.11,0.07,0.01
2026,1,00-0037840,RB,14.36,2.54,14.93
2026,1,00-0038640,WR,1.43,0.95,0
2026,1,00-0038710,TE,1.41,0.92,0
2026,1,00-0038685,RB,5.07,1.84,3.52
2026,1,00-0039373,RB,1.53,0.29,1.74
2026,1,00-0039912,TE,1.18,0.66,0
2026,1,00-0039337,WR,13.78,8.36,0.15
2026,1,00-0039424,WR,9.83,5.67,0.05
2026,1,00-0040719,RB,11.32,2.43,11.74
2026,1,00-0040198,RB,2.63,0.75,2.39
2026,1,00-0040667,WR,9.91,5.5,0.82
2026,1,00-0040142,RB,3.55,0.67,4.79
2026,1,00-0040126,TE,14.17,7.16,0.05
2026,1,00-0040128,TE,13.93,7.79,0.26
2026,1,00-0040124,WR,14,7.96,0.08
2026,1,00-0040122,RB,13.8,3.63,15.51
2026,1,00-0040669,WR,5.01,2.92,0.05
2026,1,00-0040138,WR,5.06,2.62,0.08
2026,1,00-0040277,WR,2.07,1.24,0
2026,1,00-0040509,TE,0.23,0.13,0
2026,1,00-0040876,WR,0.98,0.57,0
2026,1,00-0041027,RB,13.32,3.96,11.51
2026,1,00-0041503,TE,1.47,0.87,0
2026,1,00-0040894,WR,0.01,0.01,0
2026,1,00-0041032,TE,4.03,2.32,0.05
2026,1,00-0041084,TE,1.25,0.73,0
2026,1,00-0041069,WR,2.62,1.62,0
2026,1,00-0033858,TE,3.54,2.01,0
2026,1,00-0034855,QB,19.81,0,3.25
2026,1,00-0034365,TE,0.29,0.18,0
2026,1,00-0035261,RB,10.04,2.18,10.65
2026,1,00-0035125,FB,0.67,0.13,0.8
2026,1,00-0035208,WR,4.83,2.95,0.21
2026,1,00-0036355,QB,20.05,0,4.46
2026,1,00-0036040,TE,10.43,5.71,0
2026,1,00-0036912,WR,14.87,7.35,0.05
2026,1,00-0037005,TE,2.22,1.28,0
2026,1,00-0036842,RB,0.1,0.01,0.18
2026,1,00-0037744,TE,15.58,8.58,0
2026,1,00-0037263,RB,8.47,1.37,10.2
2026,1,00-0037291,WR,8.26,4.62,0.23
2026,1,00-0037304,RB,0.89,0.38,0.41
2026,1,00-0037594,RB,0.29,0.12,0.21
2026,1,00-0037563,RB,4.56,0.79,4.67
2026,1,00-0038597,RB,16.75,4.82,14.69
2026,1,00-0038996,TE,10.86,4.88,0
2026,1,00-0038994,WR,11.24,6.01,0.27
2026,1,00-0039163,QB,18.45,0,2.61
2026,1,00-0039041,TE,3.13,1.75,0
2026,1,00-0038738,FB,1.77,0.7,0.91
2026,1,00-0039910,QB,20.83,0,7.1
2026,1,00-0039407,RB,0.81,0.42,0.26
2026,1,00-0039361,RB,12.15,2.56,13.12
2026,1,00-0039919,WR,11.52,6.7,0.05
2026,1,00-0039890,WR,6.48,4.58,0.06
2026,1,00-0039792,WR,2.02,1.11,0.06
2026,1,00-0039739,WR,1.98,1.25,0
2026,1,00-0039901,WR,4.32,2.38,0.04
2026,1,00-0040179,RB,1.46,0.52,1.32
2026,1,00-0040154,WR,1.81,1.01,0.04
2026,1,00-0040735,WR,13.49,6.54,0.54
2026,1,00-0040218,WR,1.9,0.96,0.4
2026,1,00-0040242,RB,10.81,2.72,9.06
2026,1,00-0040075,WR,0.23,0.11,0.05
2026,1,00-0040870,WR,5.11,3.08,0
2026,1,00-0041070,WR,1.55,0.94,0
2026,1,00-0041096,RB,1.06,0.16,1.37
2026,1,00-0041099,WR,2.7,1.72,0
2026,1,00-0030565,QB,16.49,0,3
2026,1,00-0031235,WR,1.09,0.65,0
2026,1,00-0031610,TE,8,4.15,0
2026,1,00-0033077,QB,21.11,0,2.41
2026,1,00-0033246,TE,1,0.58,0
2026,1,00-0033307,WR,4.81,2.66,0
2026,1,00-0034796,QB,22.64,0,8.14
2026,1,00-0034827,WR,12.09,6.49,0.41
2026,1,00-0034829,TE,6.44,3.68,0
2026,1,00-0034798,TE,0.86,0.48,0
2026,1,00-0035250,RB,0.87,0.16,0.99
2026,1,00-0036442,QB,22.4,0,2.49
2026,1,00-0036331,WR,1.11,0.7,0.04
2026,1,00-0036630,WR,0.58,0.34,0
2026,1,00-0036988,WR,1.98,1.17,0
2026,1,00-0036628,TE,2.15,1.23,0
2026,1,00-0038117,WR,9.85,6.28,0.2
2026,1,00-0038046,TE,4.03,2.29,0.11
2026,1,00-0037240,WR,13.91,6.91,0.55
2026,1,00-0038120,RB,13.9,2.85,15.45
2026,1,00-0038090,WR,0.23,0.12,0.07
2026,1,00-0038115,TE,4.9,2.59,0
2026,1,00-0037292,TE,0.46,0.29,0
2026,1,00-0038606,WR,11.93,6.4,0.51
2026,1,00-0038589,TE,1.63,0.94,0
2026,1,00-0038563,WR,9.54,5.44,0.46
2026,1,00-0039021,RB,0.25,0,0.35
2026,1,00-0038547,TE,1.51,0.93,0
2026,1,00-0039798,RB,4.78,1.57,3.3
2026,1,00-0039794,RB,3.85,0.7,4.57
2026,1,00-0039746,RB,1.15,0.47,0.83
2026,1,00-0039344,RB,9.61,2.52,9.2
2026,1,00-0039814,TE,3.01,1.67,0
2026,1,00-0039338,TE,16.03,8.07,0.23
2026,1,00-0039451,WR,2.61,1.61,0.17
2026,1,00-0029604,QB,17.01,0,1.53
2026,1,00-0040466,RB,0.13,0.03,0.16
2026,1,00-0040715,RB,13.76,3.3,11.88
2026,1,00-0040237,WR,2.67,1.45,0.09
2026,1,00-0040691,QB,21.61,0,5.7
2026,1,00-0040129,WR,11.67,6.96,0.24
2026,1,00-0040676,QB,17.12,0,2.7
2026,1,00-0040705,WR,3.21,1.94,0.41
2026,1,00-0040164,WR,2.19,1.25,0.2
2026,1,00-0041489,WR,5.39,3.09,0.09
2026,1,00-0041511,WR,3.9,2.29,0.17
2026,1,00-0041116,TE,0.65,0.36,0
2026,1,00-0040886,RB,1.54,0.14,2.29
2026,1,00-0041547,WR,9.47,5.19,0.69
2026,1,00-0041041,TE,2.35,1.44,0
2026,1,00-0041558,TE,1.96,1.18,0
2026,1,00-0041104,RB,1.01,0.41,0.58
2026,1,00-0041051,WR,2.11,1.24,0.11
2026,1,00-0041067,WR,2.54,1.72,0
2026,1,00-0041579,TE,0.85,0.48,0
2026,1,00-0031588,WR,11.41,6.16,0.05
2026,1,00-0032392,TE,2.67,1.44,0
2026,1,00-0033119,QB,17.16,0,2.14
2026,1,00-0033217,TE,1.24,0.75,0
2026,1,00-0033526,RB,5.49,1.73,4.2
2026,1,00-0034844,RB,14.92,3.18,16.11
2026,1,00-0034857,QB,23.26,0,5.82
2026,1,00-0034753,TE,10.88,5.12,0.37
2026,1,00-0035640,WR,11.9,6.36,0.15
2026,1,00-0035021,WR,2.01,1.29,0.06
2026,1,00-0036322,WR,16.77,9.21,0.13
2026,1,00-0036554,WR,17.38,8.75,0.22
2026,1,00-0036876,TE,0.18,0.11,0
2026,1,00-0036754,TE,2.64,1.53,0
2026,1,00-0037238,WR,15.83,8.54,0.06
2026,1,00-0037838,TE,9.62,5.09,0
2026,1,00-0037740,WR,13.53,8.13,0.17
2026,1,00-0037746,RB,5.03,0.93,5.97
2026,1,00-0037801,WR,3.68,1.59,0.98
2026,1,00-0039150,QB,18.11,0,4.68
2026,1,00-0038558,TE,4.66,2.62,0
2026,1,00-0038935,TE,8.22,4.42,0
2026,1,00-0038997,WR,12.53,7.13,0.18
2026,1,00-0038608,WR,9.58,4.92,0
2026,1,00-0038559,WR,11.33,6.28,0.05
2026,1,00-0038573,WR,0.21,0.07,0.14
2026,1,00-0038896,RB,3.56,0.46,4.3
2026,1,00-0039918,QB,21.45,0,4.3
2026,1,00-0039796,RB,0.25,0.11,0.12
2026,1,00-0039875,RB,3.89,0.84,4.19
2026,1,00-0039847,TE,3.66,2.13,0
2026,1,00-0039880,WR,8.41,4.6,1.13
2026,1,00-0039920,WR,0.22,0.06,0.12
2026,1,00-0039849,WR,10.68,6.61,0
2026,1,00-0039874,RB,2.8,0.84,2.66
2026,1,00-0039391,RB,1.31,0.26,1.68
2026,1,00-0039364,RB,0.48,0.06,0.65
2026,1,00-0039410,WR,7.26,3.92,0.2
2026,1,00-0040583,RB,8.05,1.92,9.03
2026,1,00-0040189,TE,4.84,2.4,0
2026,1,00-0040663,TE,11.58,6.5,0.2
2026,1,00-0040727,WR,5.94,3.51,0.13
2026,1,00-0040784,RB,12.24,2.46,14.53
2026,1,00-0040194,TE,2.21,1.19,0
2026,1,00-0041438,WR,11.8,7.56,0.09
2026,1,00-0041042,WR,6.78,4,0.05
2026,1,WAS569019,RB,4.67,1.09,4.81
2026,1,00-0041472,TE,2.75,1.57,0
2026,1,00-0041048,WR,3.15,1.91,0.08
2026,1,00-0041132,WR,0.84,0.53,0
2026,1,00-0041529,WR,2.72,1.61,0
2026,1,00-0041483,TE,1,0.58,0
2026,1,00-0041550,WR,1.31,0.85,0
2026,1,00-0041125,RB,1.84,0.44,1.95
2026,1,00-0041398,TE,0.5,0.3,0
2026,1,00-0041524,TE,4.02,2.2,0
2026,1,00-0033106,QB,20.34,0,1.62
2026,1,00-0033537,QB,16.31,0,2.84
2026,1,00-0033885,TE,3.98,2.32,0
2026,1,00-0033375,WR,0.71,0.37,0
2026,1,00-0033376,FB,0.14,0.08,0
2026,1,00-0034351,TE,9.75,4.64,0
2026,1,00-0035228,QB,19.42,0,5.79
2026,1,00-0035685,RB,13.9,2.31,14.81
2026,1,00-0035659,WR,13.62,7.31,0.05
2026,1,00-0034960,WR,10.43,5.95,0.28
2026,1,00-0034981,TE,0.77,0.4,0
2026,1,00-0035535,WR,3.83,2.31,0
2026,1,00-0036410,WR,15.64,7.4,0.06
2026,1,00-0036223,RB,19.57,4.41,17.36
2026,1,00-0036290,TE,4.56,2.47,0
2026,1,00-0036963,WR,19.8,9.83,0.26
2026,1,00-0038129,TE,7.42,4.41,0
2026,1,00-0037256,RB,10.27,3.28,8.02
2026,1,00-0037248,RB,17.11,2.98,15.48
2026,1,00-0037239,WR,16.21,9.18,0.05
2026,1,00-0037525,RB,9.12,1.17,9.93
2026,1,00-0038555,RB,4.97,1.1,4.79
2026,1,00-0039040,RB,17.47,3.64,14.19
2026,1,00-0038393,WR,7.85,4.48,0.05
2026,1,00-0039032,RB,8.18,3.06,5.63
2026,1,00-0038454,RB,6.59,1.52,5.46
2026,1,00-0038618,WR,4.2,2.62,0.07
2026,1,00-0038611,RB,8.07,0.67,9.58
2026,1,00-0039146,WR,13.13,6.12,0.96
2026,1,00-0038933,TE,9.41,4.7,0
2026,1,00-0039359,TE,1.75,0.98,0.11
2026,1,00-0039342,WR,2.98,1.98,0
2026,1,00-0039893,WR,10.48,5.87,0.21
2026,1,00-0039915,WR,13.31,7.09,0.11
2026,1,00-0039384,RB,3.74,0.98,3.81
2026,1,00-0039589,WR,0.51,0.29,0.05
2026,1,00-0040162,RB,6.72,2.35,5.58
2026,1,00-0040187,TE,1.04,0.56,0
2026,1,00-0040666,RB,15.62,3.97,14.58
2026,1,00-0040238,RB,2.81,1.25,1.31
2026,1,00-0040743,QB,19.55,0,4.56
2026,1,00-0040184,WR,0.93,0.65,0.05
2026,1,00-0040024,WR,0.49,0.28,0
2026,1,00-0040887,TE,0.88,0.49,0
2026,1,00-0040867,WR,6.03,3.41,0.1
2026,1,00-0041523,WR,5.38,3.17,0
