team,season,plays,games,passRate,neutralPassRate
BAL,2015,1079,16,0.6460,0.6289
DEN,2015,1047,16,0.6151,0.6238
JAX,2015,1008,16,0.6548,0.6059
CAR,2015,1041,16,0.5110,0.5212
LV,2015,998,16,0.6413,0.6011
CIN,2015,988,16,0.5435,0.5321
NYJ,2015,1061,16,0.5900,0.5785
CLE,2015,1039,16,0.6400,0.6225
DET,2015,1021,16,0.6631,0.6084
LAC,2015,1096,16,0.6469,0.6408
CHI,2015,1022,16,0.5470,0.4907
GB,2015,1046,16,0.5956,0.5767
IND,2015,1033,16,0.6350,0.5967
BUF,2015,1003,16,0.5065,0.5000
KC,2015,945,16,0.5534,0.5411
HOU,2015,1108,16,0.5921,0.5743
WAS,2015,1000,16,0.5850,0.5788
MIA,2015,968,16,0.6539,0.6099
SF,2015,960,16,0.6052,0.5602
MIN,2015,961,16,0.5193,0.5180
ARI,2015,1005,16,0.5801,0.5894
NO,2015,1082,16,0.6460,0.6390
DAL,2015,960,16,0.5833,0.5214
NYG,2015,1045,16,0.6211,0.6081
PHI,2015,1089,16,0.6051,0.5945
ATL,2015,1062,16,0.6168,0.5945
PIT,2015,999,16,0.6316,0.6334
NE,2015,1029,16,0.6463,0.6462
SEA,2015,1015,16,0.5281,0.5106
LA,2015,906,16,0.5408,0.5418
TEN,2015,971,16,0.6220,0.5777
TB,2015,1007,16,0.5591,0.5187
BAL,2016,1064,16,0.6664,0.6408
BUF,2016,1008,16,0.5159,0.5091
DEN,2016,1007,16,0.6058,0.5942
CAR,2016,1049,16,0.5729,0.5604
HOU,2016,1055,16,0.5801,0.5461
CHI,2016,958,16,0.6106,0.5538
CIN,2016,1039,16,0.5794,0.5653
NYJ,2016,998,16,0.5862,0.5614
PHI,2016,1073,16,0.5993,0.5847
CLE,2016,983,16,0.6460,0.5905
IND,2016,1018,16,0.6159,0.5830
DET,2016,972,16,0.6481,0.6182
JAX,2016,1048,16,0.6307,0.5347
GB,2016,1013,16,0.6466,0.6618
LA,2016,950,16,0.6147,0.5838
SF,2016,989,16,0.5430,0.4467
SEA,2016,996,16,0.6114,0.5979
MIA,2016,906,16,0.5585,0.5172
TEN,2016,996,16,0.5341,0.4963
MIN,2016,994,16,0.6308,0.6117
ARI,2016,1080,16,0.6370,0.6071
NE,2016,1037,16,0.5535,0.5683
DAL,2016,994,16,0.5141,0.5316
NYG,2016,1001,16,0.6194,0.6020
NO,2016,1091,16,0.6379,0.6170
LV,2016,1033,16,0.5983,0.6199
WAS,2016,997,16,0.6309,0.6180
PIT,2016,1016,16,0.6122,0.6055
KC,2016,971,16,0.5963,0.5847
LAC,2016,1010,16,0.6109,0.6205
ATL,2016,988,16,0.5850,0.6008
TB,2016,1057,16,0.5856,0.5483
ARI,2017,1046,16,0.6224,0.6148
DET,2017,976,16,0.6363,0.6266
ATL,2017,972,16,0.5669,0.5635
CHI,2017,930,16,0.5505,0.4706
CIN,2017,908,16,0.6046,0.5851
BAL,2017,1038,16,0.5713,0.6008
CAR,2017,1009,16,0.5312,0.5378
SF,2017,1046,16,0.6195,0.5810
LA,2017,979,16,0.5557,0.6250
IND,2017,982,16,0.5509,0.5239
JAX,2017,1067,16,0.5201,0.5261
HOU,2017,1024,16,0.5645,0.5593
NE,2017,1057,16,0.5904,0.6017
KC,2017,977,16,0.5937,0.5958
DEN,2017,1068,16,0.5805,0.5260
LAC,2017,1003,16,0.5982,0.6113
NO,2017,978,16,0.5654,0.6000
MIN,2017,1034,16,0.5368,0.5624
DAL,2017,999,16,0.5265,0.5149
NYG,2017,1034,16,0.6248,0.5753
BUF,2017,993,16,0.5247,0.5280
NYJ,2017,967,16,0.5729,0.5508
LV,2017,944,16,0.6186,0.5699
TEN,2017,960,16,0.5521,0.5402
WAS,2017,973,16,0.5971,0.5760
PHI,2017,1061,16,0.5683,0.5938
CLE,2017,1005,16,0.6199,0.5110
PIT,2017,1031,16,0.5955,0.6097
SEA,2017,994,16,0.6026,0.6055
GB,2017,993,16,0.6193,0.5408
TB,2017,1032,16,0.6260,0.5880
MIA,2017,988,16,0.6427,0.5916
ATL,2018,1008,16,0.6587,0.6459
PHI,2018,1028,16,0.6196,0.6362
BAL,2018,1116,16,0.5260,0.5047
BUF,2018,1001,16,0.5415,0.4926
GB,2018,1021,16,0.6787,0.6275
CHI,2018,1000,16,0.5490,0.5568
CIN,2018,933,16,0.6217,0.6111
IND,2018,1049,16,0.6320,0.6447
DAL,2018,1008,16,0.5784,0.5786
CAR,2018,998,16,0.5962,0.5246
NE,2018,1052,16,0.5646,0.5946
HOU,2018,1025,16,0.5493,0.5314
JAX,2018,1001,16,0.5904,0.5154
NYG,2018,985,16,0.6437,0.6058
LAC,2018,939,16,0.5889,0.5961
KC,2018,985,16,0.6183,0.6541
LV,2018,978,16,0.6155,0.5714
LA,2018,1043,16,0.5772,0.5944
NYJ,2018,958,16,0.5846,0.5357
DET,2018,1014,16,0.6095,0.5723
PIT,2018,1046,16,0.6836,0.6530
CLE,2018,1016,16,0.6063,0.5601
DEN,2018,1007,16,0.6177,0.6065
SEA,2018,989,16,0.4762,0.4601
MIN,2018,996,16,0.6506,0.6290
SF,2018,993,16,0.5841,0.5586
NO,2018,991,16,0.5459,0.5780
TB,2018,1049,16,0.6378,0.5911
TEN,2018,930,16,0.5215,0.5000
MIA,2018,866,16,0.5843,0.5702
WAS,2018,959,16,0.5756,0.5388
ARI,2018,896,16,0.6116,0.5419
ATL,2019,1090,16,0.6780,0.6111
MIN,2019,959,16,0.5182,0.5511
BAL,2019,1042,16,0.4482,0.4436
MIA,2019,1014,16,0.6647,0.6084
BUF,2019,1004,16,0.5488,0.5635
NYJ,2019,945,16,0.6085,0.5735
CIN,2019,1037,16,0.6355,0.6080
SEA,2019,1031,16,0.5470,0.5419
LV,2019,981,16,0.5617,0.5364
DEN,2019,944,16,0.5773,0.5616
DET,2019,1011,16,0.6053,0.5440
ARI,2019,988,16,0.6103,0.5980
GB,2019,999,16,0.6106,0.6183
CHI,2019,1012,16,0.6156,0.6034
HOU,2019,1005,16,0.5791,0.5658
NO,2019,989,16,0.6087,0.6081
LAC,2019,987,16,0.6373,0.6206
IND,2019,1001,16,0.5435,0.5182
KC,2019,961,16,0.6264,0.6835
JAX,2019,1016,16,0.6280,0.5850
CAR,2019,1073,16,0.6440,0.6057
LA,2019,1046,16,0.6262,0.6131
DAL,2019,1061,16,0.5853,0.5629
NYG,2019,1011,16,0.6469,0.6013
NE,2019,1082,16,0.6007,0.6137
PIT,2019,924,16,0.5877,0.5800
TB,2019,1072,16,0.6325,0.5975
SF,2019,996,16,0.5191,0.5446
CLE,2019,967,16,0.5998,0.6013
TEN,2019,928,16,0.5388,0.5400
WAS,2019,883,16,0.6014,0.5438
PHI,2019,1098,16,0.5929,0.5719
SF,2020,1040,16,0.5885,0.5249
ARI,2020,1068,16,0.5599,0.5554
CHI,2020,1034,16,0.6286,0.5591
DET,2020,982,16,0.6314,0.5654
CLE,2020,1004,16,0.5209,0.5525
BAL,2020,979,16,0.4454,0.4328
LA,2020,1070,16,0.5738,0.5935
DAL,2020,1111,16,0.6139,0.5776
GB,2020,968,16,0.5620,0.5747
MIN,2020,1024,16,0.5459,0.5168
HOU,2020,932,16,0.6416,0.6282
KC,2020,1042,16,0.6296,0.6515
IND,2020,1011,16,0.5658,0.5664
JAX,2020,1001,16,0.6643,0.5904
CIN,2020,1030,16,0.6078,0.6028
LAC,2020,1117,16,0.5909,0.5754
LV,2020,1024,16,0.5615,0.5488
CAR,2020,982,16,0.5967,0.5897
MIA,2020,1009,16,0.5887,0.5906
NE,2020,968,16,0.4917,0.4791
NYJ,2020,940,16,0.5755,0.5424
BUF,2020,1007,16,0.6197,0.6329
WAS,2020,1041,16,0.6282,0.5782
PHI,2020,1075,16,0.6214,0.5679
NYG,2020,950,16,0.5989,0.5456
PIT,2020,1027,16,0.6573,0.6583
ATL,2020,1069,16,0.6277,0.6205
SEA,2020,1006,16,0.6083,0.6103
NO,2020,1025,16,0.5366,0.5443
TB,2020,991,16,0.6519,0.6414
TEN,2020,1024,16,0.5010,0.4923
DEN,2020,1021,16,0.5788,0.5400
TEN,2021,1119,17,0.5201,0.5114
ARI,2021,1112,17,0.5692,0.5927
LV,2021,1072,17,0.6231,0.5928
BAL,2021,1177,17,0.5675,0.5362
CHI,2021,1067,17,0.5633,0.5116
LA,2021,1044,17,0.6140,0.6356
CLE,2021,1043,17,0.5455,0.5482
KC,2021,1116,17,0.6308,0.6252
TB,2021,1121,17,0.6717,0.6780
DAL,2021,1143,17,0.5993,0.5861
NYG,2021,1042,17,0.6036,0.5644
DEN,2021,1032,17,0.5649,0.5500
NO,2021,1040,17,0.5221,0.5325
GB,2021,1052,17,0.5941,0.6059
HOU,2021,1006,17,0.5845,0.5481
JAX,2021,1024,17,0.6230,0.5532
LAC,2021,1123,17,0.6340,0.6179
WAS,2021,1066,17,0.5572,0.5305
NE,2021,1037,17,0.5439,0.5041
MIA,2021,1085,17,0.6046,0.6306
MIN,2021,1076,17,0.5874,0.5676
CIN,2021,1037,17,0.5882,0.6016
NYJ,2021,1036,17,0.6371,0.5751
CAR,2021,1099,17,0.5942,0.5346
ATL,2021,998,17,0.6152,0.5963
PHI,2021,1067,17,0.4939,0.5158
BUF,2021,1125,17,0.6098,0.6519
PIT,2021,1101,17,0.6394,0.6028
