team,season,week,plays,passes,neutralPlays,neutralPasses
BAL,2015,1,57,34,39,19
DEN,2015,1,68,44,52,39
JAX,2015,1,65,44,42,27
CAR,2015,1,66,33,40,23
LV,2015,1,62,46,17,11
CIN,2015,1,63,34,24,15
NYJ,2015,1,59,24,35,19
CLE,2015,1,63,35,41,18
DET,2015,1,47,31,18,11
LAC,2015,1,72,43,19,10
CHI,2015,1,70,37,51,22
GB,2015,1,51,23,36,19
IND,2015,1,69,53,21,18
BUF,2015,1,52,19,21,10
KC,2015,1,64,35,17,10
HOU,2015,1,74,53,7,5
WAS,2015,1,68,32,49,20
MIA,2015,1,54,37,29,21
SF,2015,1,64,27,47,21
MIN,2015,1,54,37,34,20
ARI,2015,1,56,32,42,27
NO,2015,1,70,50,37,23
DAL,2015,1,67,45,41,25
NYG,2015,1,61,37,37,25
PHI,2015,1,68,52,19,15
ATL,2015,1,67,35,44,22
PIT,2015,1,67,42,20,11
NE,2015,1,57,34,28,18
SEA,2015,1,79,47,43,23
LA,2015,1,55,29,29,14
TEN,2015,1,46,17,4,3
TB,2015,1,63,37,3,1
CHI,2015,2,62,34,25,9
ARI,2015,2,50,24,21,11
ATL,2015,2,69,48,40,29
NYG,2015,2,65,42,41,27
LV,2015,2,65,47,49,34
BAL,2015,2,70,45,33,22
DAL,2015,2,68,37,41,27
PHI,2015,2,55,38,20,11
DEN,2015,2,70,48,41,23
KC,2015,2,58,30,38,20
MIN,2015,2,60,19,29,6
DET,2015,2,71,54,17,9
CAR,2015,2,71,39,55,32
HOU,2015,2,82,59,57,39
JAX,2015,2,65,33,46,23
MIA,2015,2,61,45,36,24
BUF,2015,2,67,39,19,9
NE,2015,2,73,61,15,13
NYJ,2015,2,62,35,33,21
IND,2015,2,61,37,21,11
CIN,2015,2,60,26,41,20
LAC,2015,2,57,32,25,12
GB,2015,2,64,36,46,26
SEA,2015,2,56,31,28,15
PIT,2015,2,50,29,24,16
SF,2015,2,83,52,7,4
LA,2015,2,46,33,14,11
WAS,2015,2,66,29,21,12
NO,2015,2,69,43,30,17
TB,2015,2,59,24,30,14
TEN,2015,2,74,44,8,3
CLE,2015,2,46,17,9,4
DAL,2015,3,49,28,36,17
ATL,2015,3,69,38,12,5
MIA,2015,3,71,52,8,6
BUF,2015,3,62,29,13,10
CHI,2015,3,46,19,30,9
SEA,2015,3,61,34,25,16
BAL,2015,3,67,49,27,19
CIN,2015,3,63,34,21,8
DET,2015,3,68,49,37,22
DEN,2015,3,61,43,45,33
TEN,2015,3,75,47,25,16
IND,2015,3,53,33,23,10
JAX,2015,3,55,35,11,7
NE,2015,3,74,44,27,18
GB,2015,3,68,36,27,14
KC,2015,3,67,49,6,2
NO,2015,3,65,40,41,23
CAR,2015,3,62,32,35,20
LV,2015,3,61,32,36,21
CLE,2015,3,68,54,13,8
NYJ,2015,3,75,59,15,11
PHI,2015,3,64,29,21,11
PIT,2015,3,56,36,41,28
LA,2015,3,49,31,18,13
MIN,2015,3,54,24,32,14
LAC,2015,3,72,44,19,10
ARI,2015,3,66,32,5,3
SF,2015,3,50,21,7,4
HOU,2015,3,85,40,67,36
TB,2015,3,56,36,41,25
WAS,2015,3,71,51,5,3
NYG,2015,3,63,32,10,5
PIT,2015,4,62,30,40,21
BAL,2015,4,77,38,38,21
TB,2015,4,75,45,23,14
CAR,2015,4,54,24,30,15
CLE,2015,4,67,46,48,36
LAC,2015,4,61,40,49,35
NO,2015,4,69,44,43,30
DAL,2015,4,56,29,42,20
DET,2015,4,53,35,30,19
SEA,2015,4,60,32,35,17
GB,2015,4,68,35,45,27
SF,2015,4,50,31,29,15
ATL,2015,4,64,29,21,15
HOU,2015,4,75,58,9,4
IND,2015,4,72,50,47,32
JAX,2015,4,78,50,44,28
CIN,2015,4,51,24,34,22
KC,2015,4,73,50,29,16
MIN,2015,4,69,48,25,18
DEN,2015,4,51,29,19,11
BUF,2015,4,68,44,14,8
NYG,2015,4,63,36,27,18
MIA,2015,4,58,47,11,7
NYJ,2015,4,68,29,27,17
CHI,2015,4,75,46,47,26
LV,2015,4,57,35,40,26
WAS,2015,4,79,47,50,26
PHI,2015,4,51,33,20,14
LA,2015,4,50,25,37,22
ARI,2015,4,69,49,43,29
DET,2015,5,89,71,35,21
ARI,2015,5,41,20,17,7
TEN,2015,5,62,34,46,24
BUF,2015,5,47,22,27,16
CHI,2015,5,74,49,26,16
KC,2015,5,58,33,13,8
BAL,2015,5,68,37,28,16
CLE,2015,5,82,57,17,13
LV,2015,5,67,43,45,25
DEN,2015,5,55,37,42,33
HOU,2015,5,70,42,20,9
IND,2015,5,56,29,20,11
TB,2015,5,60,22,42,19
JAX,2015,5,56,39,37,21
DAL,2015,5,65,42,27,15
NE,2015,5,53,32,31,21
PHI,2015,5,79,45,55,35
NO,2015,5,68,48,39,26
PIT,2015,5,55,28,40,18
LAC,2015,5,69,50,48,36
CIN,2015,5,79,48,37,23
SEA,2015,5,57,27,32,15
SF,2015,5,63,37,35,18
NYG,2015,5,75,54,54,39
LA,2015,5,69,33,25,14
GB,2015,5,58,32,33,19
WAS,2015,5,58,34,40,22
ATL,2015,5,78,46,54,33
ARI,2015,6,64,45,48,32
PIT,2015,6,53,22,39,16
NO,2015,6,71,40,43,28
ATL,2015,6,70,49,33,20
SF,2015,6,56,31,25,19
BAL,2015,6,74,52,20,13
SEA,2015,6,60,34,41,22
CAR,2015,6,70,38,38,17
DET,2015,6,76,44,36,17
CHI,2015,6,74,43,28,17
BUF,2015,6,66,43,23,11
CIN,2015,6,59,33,32,20
DEN,2015,6,80,47,36,19
CLE,2015,6,76,44,22,14
HOU,2015,6,65,37,49,29
JAX,2015,6,77,56,51,34
MIN,2015,6,65,33,33,18
KC,2015,6,57,39,12,7
MIA,2015,6,63,31,26,12
TEN,2015,6,64,46,19,12
IND,2015,6,74,53,48,29
NE,2015,6,62,39,49,35
NYG,2015,6,64,41,42,27
PHI,2015,6,73,38,33,21
LAC,2015,6,89,68,39,29
GB,2015,6,48,32,25,16
WAS,2015,6,62,45,41,28
NYJ,2015,6,65,26,42,20
TEN,2015,7,52,36,39,28
ATL,2015,7,67,38,49,29
ARI,2015,7,58,31,36,19
BAL,2015,7,59,43,40,26
BUF,2015,7,75,46,20,12
JAX,2015,7,59,31,17,9
LA,2015,7,49,25,35,20
CLE,2015,7,65,41,32,16
NYG,2015,7,47,26,38,21
DAL,2015,7,69,28,49,21
HOU,2015,7,79,54,9,6
MIA,2015,7,56,24,10,6
DET,2015,7,50,33,17,10
MIN,2015,7,73,39,33,22
NO,2015,7,79,47,27,17
IND,2015,7,61,48,7,3
NYJ,2015,7,70,41,55,29
NE,2015,7,66,57,46,40
LAC,2015,7,82,61,6,5
LV,2015,7,57,32,18,11
PHI,2015,7,81,51,39,24
CAR,2015,7,57,25,28,10
