season,week,offense,defense,down,togo,yardline,margin,seconds,playType,player,passer,airYards,caught,yards,touchdown,shotgun,manZone,coverage,rushers,shell,box,afterCatch
2021,1,TEN,ARI,1,10,75,0,3600,run,00-0032764,,,,-3,0,0,,,,,,
2021,1,TEN,ARI,2,13,78,0,3563,pass,00-0032764,00-0029701,2,1,3,0,1,,,,,,1
2021,1,TEN,ARI,3,10,75,0,3522,pass,00-0032355,00-0029701,10,0,0,0,1,,,,,,0
2021,1,ARI,TEN,1,10,61,0,3507,pass,00-0030564,00-0035228,29,1,38,0,1,,,,,,9
2021,1,ARI,TEN,1,10,23,0,3475,run,00-0035228,,,,2,0,1,,,,,,
2021,1,ARI,TEN,1,18,31,0,3446,pass,00-0034681,00-0035228,-4,1,1,0,1,,,,,,5
2021,1,ARI,TEN,2,17,30,0,3414,pass,00-0027942,00-0035228,20,1,21,0,1,,,,,,1
2021,1,ARI,TEN,1,9,9,0,3400,run,00-0034681,,,,0,0,1,,,,,,
2021,1,ARI,TEN,2,24,24,0,3308,pass,00-0034775,00-0035228,4,1,8,0,1,,,,,,4
2021,1,ARI,TEN,3,16,16,0,3269,pass,00-0036936,00-0035228,16,0,0,0,1,,,,,,0
2021,1,TEN,ARI,1,10,80,-3,3257,run,00-0032764,,,,-1,0,0,,,,,,
2021,1,TEN,ARI,2,11,81,-3,3216,pass,,00-0029701,0,0,-14,0,0,,,,,,0
2021,1,ARI,TEN,1,5,5,3,3210,pass,00-0027942,00-0035228,5,0,0,0,1,,,,,,0
2021,1,ARI,TEN,2,5,5,3,3206,pass,00-0030155,00-0035228,5,0,0,0,1,,,,,,0
2021,1,ARI,TEN,3,5,5,3,3198,pass,00-0030564,00-0035228,5,1,5,1,1,,,,,,0
2021,1,TEN,ARI,1,10,75,-10,3191,run,00-0032764,,,,2,0,0,,,,,,
2021,1,TEN,ARI,2,8,73,-10,3144,run,00-0032764,,,,7,0,0,,,,,,
2021,1,TEN,ARI,3,16,81,-10,3119,pass,00-0033955,00-0029701,-1,0,0,0,1,,,,,,0
2021,1,ARI,TEN,1,10,65,10,3104,run,00-0034681,,,,4,0,1,,,,,,
2021,1,ARI,TEN,2,6,61,10,3064,pass,00-0030564,00-0035228,3,1,3,0,1,,,,,,0
2021,1,ARI,TEN,3,3,58,10,3029,pass,00-0027942,00-0035228,3,0,0,0,1,,,,,,0
2021,1,TEN,ARI,1,10,80,-10,3019,pass,,00-0029701,0,0,-6,0,0,,,,,,0
2021,1,TEN,ARI,2,16,86,-10,2974,pass,00-0032355,00-0029701,4,1,4,0,1,,,,,,0
2021,1,TEN,ARI,3,12,82,-10,2929,pass,00-0033955,00-0029701,3,1,8,0,1,,,,,,5
2021,1,TEN,ARI,4,4,74,-10,2890,pass,00-0035632,00-0032496,4,1,6,0,0,,,,,,2
2021,1,TEN,ARI,1,10,68,-10,2844,run,00-0032764,,,,-1,0,0,,,,,,
2021,1,TEN,ARI,2,11,69,-10,2809,run,00-0032764,,,,2,0,0,,,,,,
2021,1,TEN,ARI,3,9,67,-10,2766,pass,,00-0029701,0,0,-8,0,1,,,,,,0
2021,1,ARI,TEN,1,10,70,10,2731,pass,,00-0035228,0,0,-2,0,1,,,,,,0
2021,1,ARI,TEN,2,12,72,10,2700,pass,00-0030564,00-0035228,10,1,10,0,1,,,,,,0
2021,1,ARI,TEN,1,10,45,10,2656,run,00-0033553,,,,3,0,1,,,,,,
2021,1,ARI,TEN,2,7,42,10,2638,run,00-0034681,,,,10,0,1,,,,,,
2021,1,ARI,TEN,1,10,32,10,2598,pass,00-0034775,00-0035228,-1,1,3,0,1,,,,,,4
2021,1,ARI,TEN,2,7,29,10,2559,run,00-0033553,,,,7,0,1,,,,,,
2021,1,ARI,TEN,1,10,22,10,2540,run,00-0035228,,,,7,0,0,,,,,,
2021,1,ARI,TEN,1,13,25,10,2510,run,00-0034681,,,,8,0,1,,,,,,
2021,1,ARI,TEN,2,5,17,10,2463,pass,00-0030564,00-0035228,4,1,17,1,1,,,,,,13
2021,1,TEN,ARI,1,10,75,-17,2459,pass,00-0035676,00-0029701,0,0,0,0,0,,,,,,0
2021,1,TEN,ARI,2,10,75,-17,2456,pass,00-0035676,00-0029701,9,1,12,0,1,,,,,,3
2021,1,TEN,ARI,1,10,63,-17,2428,run,00-0032764,,,,2,0,0,,,,,,
2021,1,TEN,ARI,2,8,61,-17,2392,pass,00-0033455,00-0029701,6,1,11,0,1,,,,,,5
