season,week,playerId,position,points,touches,tds,dealt
2024,3,00-0023459,QB,11.4033,0.7750,0.0500,30.86 8.84 5.18 14.56 9.50 3.74 15.65 19.33 13.43 0.04 17.25 9.26 3.64 6.79 16.82 18.69 11.83 11.12 12.54 9.10 11.73 8.05 23.22 12.66 9.65 12.19 15.15 13.10 27.18 3.94 5.22 6.75 10.19 6.35 10.39 6.67 11.55 2.51 10.05 11.41
2024,3,00-0026498,QB,17.7293,0.5000,0.0250,15.16 12.59 17.49 20.98 7.53 14.10 12.88 7.91 24.50 13.04 13.57 10.81 15.37 14.20 17.85 23.85 13.57 21.90 18.72 23.00 19.27 24.98 26.39 24.91 12.23 23.12 17.04 12.76 18.00 19.61 18.79 17.21 12.87 28.70 23.13 19.47 17.97 14.27 14.65 24.78
2024,3,00-0029604,QB,16.6357,2.9500,0.0500,19.23 23.83 26.64 23.20 15.46 19.82 12.35 27.90 10.36 11.16 17.68 13.87 18.35 26.85 17.10 15.06 20.89 19.17 33.81 12.15 7.22 11.20 11.08 12.59 12.79 12.75 10.13 16.26 12.73 13.91 14.64 24.40 9.59 8.29 21.10 17.22 17.14 26.43 14.79 6.27
2024,3,00-0030035,WR,4.7169,5.0250,0.0500,1.23 2.22 7.90 1.07 6.82 7.59 7.51 3.68 2.38 1.38 1.23 2.38 10.20 1.15 5.06 3.76 9.28 3.53 5.52 2.91 3.83 3.45 4.29 7.97 4.22 2.99 4.60 6.98 2.45 0.92 5.44 1.61 9.66 7.51 3.53 3.22 9.81 2.68 7.82 8.89
2024,3,00-0030061,TE,4.4189,3.9500,0.0750,2.48 7.70 13.35 1.88 9.24 4.96 5.90 1.63 6.84 6.42 6.84 5.30 0.00 3.25 3.08 4.79 0.00 5.73 0.00 3.08 3.68 0.00 2.22 8.47 9.24 4.19 8.13 1.88 2.40 4.36 3.25 4.19 4.02 4.88 6.25 6.25 5.22 4.62 0.00 1.03
2024,3,00-0030431,WR,3.8053,3.0750,0.0500,1.60 2.77 0.00 5.97 7.47 3.63 2.13 2.03 0.00 0.00 0.00 2.77 5.01 11.84 2.99 0.00 3.84 0.00 7.25 3.52 6.08 0.00 2.24 0.32 0.00 13.23 2.77 0.00 7.25 4.48 10.24 4.05 5.65 0.00 5.23 5.97 5.01 0.43 14.83 1.60
2024,3,00-0030506,TE,9.6966,5.4750,0.2000,12.52 23.41 4.79 14.16 18.29 5.55 12.41 21.12 5.88 13.07 11.98 10.89 16.44 2.18 16.88 3.81 22.43 4.46 1.42 13.18 11.54 1.63 13.72 11.54 9.47 10.45 10.34 6.86 13.07 7.08 10.34 1.74 3.59 0.00 4.57 14.16 6.42 4.14 12.30 0.00
2024,3,00-0030564,WR,4.7289,3.8000,0.1750,9.78 9.24 1.78 9.51 1.87 9.33 2.76 0.00 6.84 5.07 2.76 5.42 2.13 14.58 8.62 3.64 13.07 11.56 1.60 1.60 1.24 1.07 4.27 1.51 8.18 0.00 1.69 2.67 4.80 1.78 0.00 0.00 3.02 0.00 1.42 8.53 0.00 8.53 17.96 1.33
2024,3,00-0030565,QB,25.1994,7.2250,0.2500,20.44 6.92 23.68 33.71 18.34 8.47 33.73 19.60 23.78 30.60 41.98 31.81 41.68 34.38 19.07 28.59 12.90 15.55 17.76 21.86 35.73 20.38 21.40 25.66 29.56 31.67 12.21 11.65 29.67 26.59 21.37 17.67 32.78 26.09 33.08 29.32 27.52 33.95 28.01 28.80
2024,3,00-0030578,RB,1.2870,2.9000,0.0500,0.43 1.82 2.43 0.17 1.91 0.95 -0.09 1.39 0.00 0.95 0.87 1.30 0.00 0.26 0.17 0.95 1.04 0.00 0.26 0.61 0.61 0.35 0.00 2.17 0.26 6.50 0.69 0.61 5.46 0.00 8.84 1.13 -0.09 0.00 2.77 3.12 0.52 0.00 2.69 0.43
