season,week,playerId,position,points,touches,tds,dealt
2024,3,00-0023459,QB,13.2789,0.6500,0.0750,13.91 18.93 9.79 14.56 36.16 9.79 7.40 12.56 6.96 13.71 12.62 3.96 13.87 5.50 22.95 7.62 17.37 14.40 29.69 4.75 12.21 14.68 2.67 4.97 6.15 19.35 13.06 18.93 6.27 11.28 16.18 16.74 18.89 10.98 23.66 4.37 8.98 11.12 15.17 18.99
2024,3,00-0026498,QB,20.1372,0.5000,0.0500,17.25 19.44 15.78 16.53 14.30 19.04 9.21 19.78 23.49 18.62 20.48 18.24 22.28 20.81 26.62 23.13 21.08 19.68 17.35 29.43 12.15 15.67 26.49 21.87 11.05 13.86 18.70 31.79 21.15 23.29 18.10 28.44 16.46 28.70 11.09 19.68 36.99 18.41 12.56 26.49
2024,3,00-0029604,QB,15.3257,2.5750,0.1000,15.38 18.31 7.64 18.19 22.11 29.05 14.52 16.34 14.49 13.76 11.98 13.36 20.37 24.94 -0.97 -0.75 22.21 17.20 13.11 14.60 1.38 12.82 12.86 21.96 13.00 12.63 7.70 22.67 36.20 15.38 14.33 26.83 17.16 10.64 16.63 19.80 10.47 17.83 16.49 0.38
2024,3,00-0030035,WR,4.9584,5.5750,0.0250,2.22 0.92 3.76 5.21 3.37 6.21 4.22 6.21 5.37 5.44 1.61 1.99 6.36 5.52 8.05 2.91 4.68 2.15 4.52 8.20 4.37 9.28 3.68 9.43 3.60 5.37 8.59 12.11 2.22 2.45 5.44 1.07 9.51 2.38 3.60 2.30 7.51 0.00 5.44 11.04
2024,3,00-0030061,TE,5.2852,4.3750,0.1750,1.20 23.19 19.16 5.73 10.61 4.02 6.84 5.30 5.05 5.39 4.79 1.63 1.71 5.99 0.00 3.68 6.50 1.54 1.88 8.47 3.76 1.20 0.00 6.42 9.50 5.39 1.71 7.79 3.59 7.96 0.00 0.00 4.19 7.87 13.09 4.28 7.02 0.00 1.63 3.34
2024,3,00-0030431,WR,3.3947,2.9500,0.0500,3.95 2.77 0.00 2.88 3.95 6.19 0.00 0.00 0.00 2.56 1.39 4.59 6.51 4.91 3.73 12.91 3.84 0.00 1.60 1.81 0.00 0.00 2.24 0.53 5.12 5.01 2.77 0.00 7.25 4.48 18.99 3.73 1.92 0.00 8.32 1.81 2.56 0.00 7.47 0.00
2024,3,00-0030506,TE,9.5768,5.5000,0.1000,20.36 13.72 11.43 18.18 3.05 14.05 7.51 22.65 10.13 18.84 5.34 4.57 19.16 2.18 6.64 1.63 13.39 10.67 7.73 8.93 16.44 0.87 11.00 8.82 10.02 10.67 10.13 15.24 1.63 16.66 12.09 6.42 9.26 4.25 1.63 5.66 4.03 6.32 5.34 6.42
2024,3,00-0030564,WR,4.0467,3.9500,0.1250,0.00 11.91 1.78 6.93 1.87 5.87 0.71 0.00 8.09 11.11 14.84 0.00 1.24 1.69 5.78 3.20 3.38 5.69 1.60 0.00 1.24 6.58 6.22 8.53 0.00 0.00 0.00 4.36 10.22 0.00 2.22 0.00 2.04 0.00 0.00 8.44 0.00 5.51 20.80 0.00
2024,3,00-0030565,QB,22.4603,5.7500,0.2750,15.79 24.45 19.86 36.10 18.24 20.53 15.79 30.80 38.24 24.35 41.98 1.78 23.58 12.52 23.44 24.04 21.33 22.77 16.72 25.99 24.61 9.34 21.54 21.48 15.59 31.51 14.94 23.84 34.96 19.15 29.24 3.80 33.00 18.54 25.64 25.72 39.45 22.85 9.00 15.89
2024,3,00-0030578,RB,1.5838,3.0500,0.0500,0.17 1.13 2.17 0.00 1.47 1.56 2.17 0.26 0.00 1.04 0.35 1.99 1.56 0.95 0.17 0.78 1.56 0.00 1.13 0.26 1.56 0.00 0.00 0.69 2.34 7.19 2.43 -0.17 5.20 1.21 9.88 2.34 0.43 1.39 1.47 5.03 0.26 0.95 0.00 2.43
2024,3,00-0031235,WR,6.9062,4.2000,0.2750,1.42 0.00 3.08 2.92 3.75 15.58 2.42 1.33 3.00 1.83 5.25 0.00 4.08 0.00 12.25 3.42 5.00 2.08 1.58 8.25 8.83 1.58 13.67 4.83 9.42 10.75 23.92 10.67 9.42 16.92 2.25 7.00 3.92 18.92 8.50 3.83 14.58 11.75 14.50 3.75
2024,3,00-0031236,WR,10.5263,5.4750,0.4500,5.93 21.98 2.66 21.16 8.79 20.44 6.44 6.13 7.56 5.62 1.74 5.93 6.03 15.54 10.02 3.68 11.96 19.63 7.46 10.43 5.42 14.41 15.23 28.62 11.45 7.77 5.93 17.07 3.68 3.37 7.36 12.27 28.32 0.20 1.84 11.45 5.83 11.14 7.05 23.51
