season,week,playerId,position,points,touches,tds,dealt
2024,3,00-0023459,QB,14.8896,0.7000,0.0250,15.77 13.61 14.30 11.69 23.30 11.93 16.76 7.54 14.64 13.89 3.32 25.28 11.36 15.83 23.54 15.29 8.57 22.37 23.54 10.80 3.48 21.96 17.63 19.94 13.55 14.20 19.70 19.70 3.76 5.80 10.80 22.43 16.91 10.82 7.85 16.78 14.44 19.05 15.67 17.80
2024,3,00-0026498,QB,15.2426,0.4000,0.0250,13.86 15.67 14.75 21.56 5.89 11.88 15.16 22.86 15.23 16.03 23.27 15.88 15.81 14.68 10.68 30.30 9.41 25.19 14.75 13.00 11.98 9.34 8.59 25.32 7.91 23.32 7.79 13.24 15.43 20.26 14.78 12.42 15.19 9.17 7.49 22.54 22.55 5.61 12.46 18.43
2024,3,00-0029604,QB,14.2846,2.3500,0.1500,13.26 9.00 11.91 22.95 19.74 26.20 8.81 8.41 14.87 12.48 24.33 15.02 16.02 14.60 10.93 4.28 1.61 10.07 14.62 33.94 11.12 3.13 8.98 11.75 3.98 2.68 23.47 14.66 11.81 10.99 15.46 17.75 10.49 13.11 8.47 35.81 13.66 16.88 28.15 15.98
2024,3,00-0030035,WR,4.8262,5.0500,0.0500,0.00 3.99 12.50 0.92 11.50 1.23 3.99 2.30 7.21 6.90 1.76 3.07 1.23 1.38 5.98 5.83 8.20 2.91 3.76 2.99 3.91 1.53 4.37 6.82 1.38 7.36 3.60 8.28 15.87 4.45 2.30 1.23 7.74 3.14 4.37 3.37 10.96 1.99 4.06 8.66
2024,3,00-0030061,TE,5.8114,4.9000,0.1500,5.90 7.36 15.40 4.02 12.49 1.54 6.07 9.24 5.56 2.40 0.00 7.96 4.96 9.58 7.79 5.73 4.53 4.19 9.75 9.58 3.34 8.56 5.82 10.18 0.00 0.00 1.03 3.76 1.11 4.19 6.93 0.00 7.79 2.22 5.39 5.90 7.10 5.39 11.55 8.13
2024,3,00-0030431,WR,3.8187,2.7750,0.0750,2.67 7.57 0.00 0.00 0.96 8.53 1.81 2.99 0.00 11.95 1.49 9.60 7.25 1.60 2.56 6.51 0.00 8.21 7.25 0.00 3.31 0.00 2.67 10.03 0.00 0.00 10.88 1.81 8.75 3.41 1.60 5.23 0.00 1.81 11.31 0.00 2.35 2.67 2.45 3.52
2024,3,00-0030506,TE,10.1675,5.4500,0.3000,5.44 14.92 0.33 15.79 2.18 18.08 5.55 34.08 5.44 19.06 5.77 5.44 19.71 5.55 5.12 16.66 4.25 26.46 2.50 9.36 13.50 15.03 4.03 9.58 19.71 1.96 0.00 4.36 17.53 12.41 11.98 1.20 2.94 2.18 4.90 10.78 16.12 9.58 16.22 11.00
2024,3,00-0030564,WR,6.2244,3.9500,0.2750,14.93 5.60 1.51 1.24 18.76 0.00 11.73 9.96 2.76 27.38 1.42 1.16 0.00 4.62 5.07 0.00 13.60 7.56 2.67 1.87 4.44 5.60 14.13 0.00 0.00 11.47 7.11 12.80 22.93 6.49 0.00 0.00 10.13 1.51 0.00 1.42 1.33 5.69 1.51 10.58
2024,3,00-0030565,QB,23.6822,6.8750,0.3250,18.91 39.03 15.98 33.53 20.75 23.42 23.56 10.01 14.30 25.48 13.69 25.42 12.34 32.94 14.56 17.98 18.71 17.31 19.25 40.87 20.14 19.80 33.45 11.47 19.19 17.25 24.71 48.67 34.40 29.48 17.53 14.01 40.04 28.29 20.24 13.71 38.48 26.11 27.18 25.12
2024,3,00-0030578,RB,1.6683,2.8750,0.0500,0.00 4.94 1.65 0.17 11.79 0.87 1.39 0.09 0.00 1.47 0.00 -0.17 1.99 0.09 4.16 1.91 5.20 0.00 1.73 0.26 0.78 0.00 9.88 0.43 0.52 1.21 0.00 0.00 4.33 1.56 1.30 2.25 -0.09 2.34 0.00 3.12 0.00 0.69 0.52 0.35
2024,3,00-0031235,WR,5.2521,3.9500,0.2000,8.25 1.33 1.33 1.50 5.92 10.08 1.25 15.92 15.17 1.33 1.33 0.00 8.33 0.00 0.00 4.25 4.92 10.50 0.00 0.00 19.17 0.00 22.58 0.00 2.92 4.08 0.00 10.17 4.33 8.25 1.75 4.00 2.08 3.00 8.33 0.00 6.00 9.67 3.17 9.17
2024,3,00-0031236,WR,7.6513,4.6500,0.2000,16.36 15.33 8.28 26.68 6.24 11.35 6.54 5.62 2.76 6.54 2.15 6.64 3.99 8.28 8.18 9.40 5.72 2.45 7.16 5.11 7.05 1.64 9.30 9.20 8.08 16.76 -0.10 9.40 14.72 5.72 0.31 1.84 4.60 5.52 5.62 12.78 14.62 8.59 0.00 5.62
2024,3,00-0031280,QB,17.7383,1.0750,0.0500,13.44 32.48 27.51 21.65 19.04 22.27 7.87 9.11 18.11 18.27 13.41 22.06 -4.58 13.80 23.62 7.19 20.00 13.50 6.23 22.39 23.48 19.14 25.25 16.43 11.49 15.02 16.66 9.66 9.41 20.33 36.78 11.63 14.24 24.17 33.97 23.37 22.25 14.74 24.06 10.09
2024,3,00-0031381,WR,12.4392,8.1000,0.3500,23.66 15.27 20.93 31.45 4.25 12.84 12.54 7.99 5.86 9.61 9.81 28.21 7.28 19.82 15.98 7.79 22.85 9.61 15.57 2.53 9.81 11.12 12.44 5.97 15.37 3.74 8.70 11.43 0.00 6.77 5.26 9.00 8.59 14.56 8.09 10.92 39.84 19.01 2.73 10.41
2024,3,00-0031408,WR,11.3305,7.6250,0.1500,12.19 10.85 10.23 23.56 17.05 8.78 15.91 28.42 5.17 10.44 11.26 4.24 15.50 5.06 1.55 15.81 5.48 0.00 20.67 6.41 11.99 9.82 15.09 4.55 1.76 19.32 12.09 11.57 3.41 8.68 7.23 15.60 17.26 10.75 10.13 17.88 12.71 16.53 16.53 1.76
2024,3,00-0031428,WR,3.5879,2.4250,0.0000,5.57 2.18 5.93 0.00 6.54 8.72 5.45 3.51 4.00 3.27 2.06 1.70 0.00 3.03 2.06 3.39 4.97 1.33 0.00 4.12 4.72 5.33 4.97 2.06 2.66 6.18 0.00 3.27 18.77 0.00 0.00 2.06 3.39 1.45 0.00 8.24 1.45 5.57 1.70 3.88
2024,3,00-0031544,WR,12.9396,7.9750,0.4750,11.27 12.46 17.60 4.75 9.69 7.22 5.93 4.94 5.74 5.93 10.88 11.47 9.00 20.96 8.31 10.98 31.25 23.04 6.13 10.19 20.87 4.25 18.69 15.23 9.30 15.92 21.46 17.11 7.81 18.39 7.71 23.54 6.82 21.66 5.14 22.74 8.31 15.62 23.83 5.44
2024,3,00-0031547,WR,5.8564,3.8500,0.1000,4.13 5.27 2.48 16.43 0.00 0.00 2.48 0.00 8.37 4.34 0.00 6.61 4.75 9.71 5.99 5.27 1.65 6.51 8.06 12.40 2.17 14.05 2.27 11.37 4.96 2.17 10.85 9.82 3.31 12.40 0.00 11.47 10.33 16.02 2.17 1.76 3.62 4.65 4.24 2.17
2024,3,00-0031549,WR,4.4127,2.4750,0.0750,4.03 0.00 0.00 22.00 2.50 3.48 7.19 0.00 0.00 6.10 4.79 4.03 7.19 7.40 2.18 9.36 2.94 0.00 0.00 2.94 3.81 6.53 0.00 4.36 11.32 0.00 0.00 4.14 0.00 15.79 0.00 1.42 0.00 15.35 8.06 12.85 0.00 4.90 0.00 1.85
2024,3,00-0031588,WR,10.6960,7.6000,0.2750,18.88 20.16 17.07 18.03 7.89 34.35 16.64 11.31 5.12 22.19 6.93 5.01 9.71 6.61 1.71 19.31 5.23 6.72 1.49 1.60 0.00 24.64 3.09 6.08 9.71 15.04 0.00 5.55 5.55 5.23 19.41 8.00 8.11 14.93 0.00 9.60 14.83 13.12 9.49 19.52
2024,3,00-0031610,TE,4.3068,5.4250,0.0500,0.91 5.67 5.67 5.53 3.92 4.97 10.22 1.54 2.38 3.99 9.52 6.23 2.59 4.27 3.64 3.29 1.12 1.96 2.59 4.76 3.43 1.82 4.27 4.69 4.76 1.12 1.33 1.05 5.25 3.50 15.96 2.66 7.63 2.66 6.86 1.19 5.60 4.27 5.18 4.27
2024,3,00-0031763,WR,3.2163,2.1500,0.1250,2.03 10.70 1.94 3.04 0.00 2.40 2.86 6.82 0.00 0.00 0.00 0.00 3.50 4.24 8.48 4.06 0.00 7.29 12.08 17.06 0.92 0.00 0.00 1.48 0.00 2.67 1.01 1.48 2.58 3.97 4.61 2.77 0.00 0.00 3.97 10.70 0.00 0.83 3.60 1.57
