season,week,playerId,position,points,touches,tds,dealt
2024,3,00-0023459,QB,13.9356,1.6500,0.0250,21.70 17.19 15.75 20.42 11.83 15.81 5.66 17.55 13.10 10.37 2.06 12.25 19.47 13.45 22.47 18.08 8.03 22.73 7.56 17.92 21.52 18.64 14.86 10.35 11.20 18.20 5.68 3.86 6.47 11.12 13.02 13.39 13.14 10.88 15.81 9.93 0.40 18.99 31.71 14.80
2024,3,00-0026498,QB,14.0388,1.5750,0.0000,15.19 13.12 11.45 14.05 8.66 19.13 21.65 17.57 12.27 15.64 9.33 21.89 15.43 18.94 18.31 11.82 18.14 14.03 22.77 15.78 24.83 6.95 14.19 5.83 19.92 12.03 12.70 9.82 16.44 6.43 18.24 8.91 10.92 12.11 16.19 1.06 6.23 11.41 15.33 16.84
2024,3,00-0029604,QB,14.4060,1.7500,0.1000,15.27 15.06 14.58 13.36 13.89 22.65 6.77 10.24 15.59 18.19 11.54 18.54 14.45 21.44 9.15 10.26 19.26 12.08 19.32 15.40 20.18 6.27 12.46 16.07 10.97 4.61 11.43 24.23 5.39 14.91 15.29 13.01 13.03 15.56 19.88 10.19 16.28 8.89 28.46 12.08
2024,3,00-0030035,WR,6.3173,5.5000,0.1250,2.07 7.13 6.90 5.14 11.19 5.14 0.00 9.43 2.22 10.50 4.06 3.76 5.67 8.05 8.20 2.22 4.60 8.59 10.50 7.82 9.12 5.21 10.89 10.50 4.52 8.59 7.74 5.21 7.74 6.82 4.98 9.51 7.13 3.37 5.83 2.76 5.60 2.61 2.30 9.05
2024,3,00-0030061,TE,5.0563,4.5500,0.1250,12.75 9.84 1.28 8.73 3.85 11.55 9.15 3.42 13.35 8.90 4.71 3.34 7.79 3.68 0.00 1.80 0.00 4.96 4.28 1.28 5.90 4.71 7.44 5.73 4.62 1.28 0.00 2.65 4.53 10.44 5.56 0.00 3.25 5.22 2.91 2.65 0.00 8.30 5.48 6.93
2024,3,00-0030431,WR,3.2053,2.7750,0.0500,0.00 12.27 0.00 2.77 2.88 4.59 4.27 5.87 0.00 2.56 6.61 0.00 3.41 3.84 4.69 2.67 2.24 6.40 1.71 1.81 1.71 1.60 0.00 1.71 2.77 3.84 1.28 3.20 0.00 2.03 2.88 11.84 3.41 3.73 1.71 1.92 2.35 7.57 4.16 1.92
2024,3,00-0030506,TE,12.8816,6.7750,0.3750,23.19 16.44 11.43 25.15 1.85 16.01 8.38 2.72 4.79 18.40 7.51 27.66 8.71 5.23 7.62 20.36 11.22 24.72 12.85 8.49 7.40 10.24 27.77 4.46 6.86 6.64 4.79 18.51 14.81 12.63 5.44 8.17 13.83 29.84 11.87 7.62 11.43 9.69 24.06 16.44
2024,3,00-0030564,WR,6.9933,4.5250,0.3000,10.67 25.42 19.20 1.96 5.16 14.49 9.60 8.71 21.51 6.31 7.73 4.53 4.62 0.00 6.84 6.67 4.36 7.11 1.42 2.40 12.71 3.20 0.00 9.51 13.60 0.00 8.18 1.16 4.27 5.69 5.16 0.00 0.00 22.04 0.00 2.22 8.36 7.11 2.76 5.07
2024,3,00-0030565,QB,21.0584,5.7500,0.2500,27.24 18.00 15.09 18.04 22.35 22.83 33.00 14.09 27.14 13.75 22.99 19.13 39.01 11.97 19.07 22.55 21.94 23.32 12.86 26.61 23.98 14.74 23.68 23.07 32.68 21.88 8.76 21.19 23.54 27.30 17.88 16.46 13.02 23.62 30.05 15.98 15.25 9.91 29.38 18.99
2024,3,00-0030578,RB,2.3465,3.5250,0.0500,7.89 0.00 0.95 6.85 3.12 1.39 1.30 1.13 1.56 0.17 2.95 0.26 2.34 2.08 0.00 0.00 0.00 0.26 6.07 1.56 0.52 0.69 1.65 1.56 1.39 2.77 13.87 2.95 1.65 4.77 3.81 0.61 0.61 1.73 4.16 2.69 0.26 2.69 1.99 3.64
2024,3,00-0031235,WR,1.9604,1.5250,0.1250,1.00 0.00 0.00 0.08 3.58 0.00 1.25 0.00 5.92 2.67 0.00 0.50 2.33 1.33 0.00 2.25 0.00 3.92 8.58 0.00 0.00 0.25 0.00 0.00 0.00 0.00 6.58 8.92 2.00 0.00 0.00 1.17 0.00 9.67 1.83 2.83 0.00 0.00 11.75 0.00
2024,3,00-0031236,WR,6.0464,4.1000,0.1750,6.44 4.19 3.58 10.53 18.30 7.46 0.00 0.00 4.50 10.94 0.00 12.27 3.48 3.37 15.54 8.89 13.29 5.93 1.23 9.20 0.00 16.76 5.93 0.00 4.70 4.19 11.96 6.95 1.23 2.86 9.51 8.38 3.27 3.88 0.00 2.76 4.29 5.21 8.59 2.25
2024,3,00-0031280,QB,16.3060,2.0000,0.0500,16.82 10.53 27.54 27.79 19.78 11.35 9.80 10.03 12.38 4.03 19.20 15.18 17.14 15.47 13.28 28.61 14.85 7.71 4.76 31.63 5.24 12.96 26.44 32.73 14.31 24.03 20.07 19.07 15.31 13.32 15.43 22.09 16.85 12.27 31.86 17.76 11.93 6.18 6.78 9.75
2024,3,00-0031299,TE,1.5084,1.6500,0.0000,5.29 0.77 0.00 0.00 0.00 2.91 2.15 4.75 3.91 0.00 0.92 2.84 1.23 1.38 2.61 2.30 1.23 1.53 0.00 5.37 0.00 1.38 0.00 0.00 0.00 1.69 1.23 0.00 5.21 1.46 3.60 0.00 1.38 0.00 0.00 2.76 2.45 0.00 0.00 0.00
2024,3,00-0031381,WR,14.0393,10.1750,0.2500,21.64 6.88 8.70 17.09 21.74 8.90 29.93 10.62 17.59 15.57 12.64 22.45 17.49 19.82 9.00 3.64 9.30 5.36 11.12 6.57 31.75 5.76 15.17 14.86 17.29 1.92 10.41 8.59 10.21 7.89 28.01 15.47 6.88 16.28 13.04 8.59 24.47 16.78 15.37 16.78
