season,week,home_team,wind,temp,precip_mm,precip_chance,source
2026,3,BUF,15.9,66.9,0.00,9,forecast
2026,3,CHI,4.1,63.2,0.00,0,forecast
2026,3,CLE,12.0,67.4,0.00,0,forecast
2026,3,DEN,10.9,76.4,0.00,1,forecast
2026,3,JAX,7.6,88.5,0.00,0,forecast
2026,3,MIA,4.5,89.3,0.00,9,forecast
2026,3,NYG,18.0,59.2,2.40,92,forecast
2026,3,PIT,9.8,71.3,0.00,2,forecast
2026,3,SF,8.7,72.9,0.00,1,forecast
2026,3,TB,7.4,84.3,0.00,0,forecast
2026,3,WAS,14.8,57.1,7.30,63,forecast
2026,4,BAL,4.4,86.3,0.00,37,forecast
2026,4,BUF,13.5,78.4,0.00,32,forecast
2026,4,CAR,2.4,81.2,0.00,42,forecast
2026,4,CHI,8.1,82.1,0.00,18,forecast
2026,4,CIN,4.6,89.2,0.00,40,forecast
2026,4,CLE,10.2,72.5,0.30,25,forecast
2026,4,NYG,7.9,78.0,0.00,25,forecast
2026,4,PHI,2.3,83.8,0.00,24,forecast
2026,4,SEA,8.1,63.6,0.00,5,forecast
2026,4,SF,11.2,77.0,0.00,0,forecast
2026,4,TB,10.7,91.7,0.10,50,forecast
2026,4,WAS,3.1,76.2,0.00,20,forecast
2026,5,GB,9.6,59.4,0.00,0,climate
2026,5,JAX,8.5,76.6,0.00,0,climate
2026,5,MIA,10.3,83.9,0.00,0,climate
2026,5,NE,8.9,60.9,0.00,0,climate
2026,5,NYJ,8.7,64.4,0.00,0,climate
2026,5,PIT,8.4,60.6,0.00,0,climate
2026,5,SEA,6.7,63.9,0.00,0,climate
2026,5,TEN,7.7,68.8,0.00,0,climate
2026,5,WAS,6.9,65.8,0.00,0,climate
2026,6,CLE,11.4,57.7,0.00,0,climate
2026,6,DEN,7.0,59.1,0.00,0,climate
2026,6,GB,9.6,51.7,0.00,0,climate
2026,6,JAX,8.5,74.9,0.00,0,climate
2026,6,KC,9.1,64.3,0.00,0,climate
2026,6,NE,8.9,58.2,0.00,0,climate
2026,6,NYG,8.3,60.7,0.00,0,climate
2026,6,PHI,9.5,62.1,0.00,0,climate
2026,6,SF,7.8,64.9,0.00,0,climate
2026,6,TB,8.2,79.9,0.00,0,climate
2026,7,BAL,7.8,61.1,0.00,0,climate
